Pond	Block	Sonde	Sonde_ID	Treatment	Replicate
1A	1	Sonde01	15D102264	D	1
1B	1	Sonde16	16A102285	C	1
1C	1	Sonde13	16A102286	C	2
1D	1	Sonde17	16M100127	O	1
2A	2	Sonde03	15D102261	MD	1
2B	2	Sonde05	15D102262	C	3
2C	2	Sonde08	15D102259	MD	2
2D	2	Sonde07	12G103723	M	1
3A	3	Sonde09	15D102258	C	4
3B	3	Sonde18	16M100128	O	2
3C	3	Sonde20	16M100125	O	3
3D	3	Sonde10	15D102257	M	2
4A	4	Sonde12	16A102284	D	2
4B	4	Sonde14	16A102291	MD	3
4C	4	Sonde11	16A102289	D	3
4D	4	Sonde06	15D102265	MD	4
5A	5	Sonde04	16A102288	M	3
5B	5	Sonde15	16A102290	M	4
5C	5	Sonde02	15D102263	D	4
5D	5	Sonde19	16M100126	O	4
