Time_seq,Hour,Pond,Treatment,Chlorophyll_RFU,Cond_uScm,BGAPC_RFU,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
0,20,B1P1,S,0.54,38.9,-1.57,11.79,7.4,2.29,59.4,6.94
0,21,B1P1,S,0.6,38.9,-1.56,11.78,7.4,2.32,59.4,6.91
0,22,B1P1,S,0.65,38.9,-1.54,11.76,7.39,2.33,59.4,6.88
0,23,B1P1,S,0.58,38.82,-1.55,11.75,7.37,2.34,59.44,6.85
0,0,B1P1,S,0.62,38.8,-1.54,11.71,7.36,2.37,59.5,6.81
0,1,B1P1,S,0.62,38.8,-1.53,11.69,7.34,2.38,59.5,6.77
0,2,B1P1,S,0.62,38.7,-1.54,11.67,7.31,2.39,59.5,6.73
0,3,B1P1,S,0.71,38.7,-1.5,11.64,7.3,2.4,59.5,6.7
0,4,B1P1,S,0.57,38.67,-1.54,11.63,7.28,2.41,59.5,6.67
0,5,B1P1,S,0.59,38.6,-1.54,11.61,7.26,2.42,59.5,6.64
0,6,B1P1,S,0.52,38.59,-1.53,11.59,7.25,2.46,59.49,6.63
0,7,B1P1,S,0.52,38.5,-1.56,11.59,7.25,2.46,59.4,6.6
0,8,B1P1,S,0.35,38.5,-1.58,11.6,7.25,2.43,59.4,6.6
0,9,B1P1,S,0.18,38.5,-1.59,11.62,7.26,2.42,59.4,6.61
0,10,B1P1,S,0.04,38.59,-1.62,11.66,7.27,2.39,59.4,6.66
0,11,B1P1,S,-0.05,38.66,-1.64,11.7,7.29,2.36,59.36,6.75
0,12,B1P1,S,-0.12,38.87,-1.67,11.73,7.31,2.3,59.3,6.96
0,13,B1P1,S,-0.09,39.14,-1.68,11.75,7.31,2.23,59.3,7.22
0,14,B1P1,S,-0.04,39.25,-1.68,11.78,7.33,2.2,59.24,7.33
0,15,B1P1,S,0.16,39.46,-1.65,11.84,7.35,2.18,59.23,7.5
0,16,B1P1,S,0.34,39.5,-1.64,11.86,7.37,2.17,59.3,7.55
0,17,B1P1,S,0.4,39.52,-1.64,11.9,7.39,2.17,59.3,7.58
0,18,B1P1,S,0.53,39.6,-1.61,11.92,7.41,2.19,59.3,7.56
0,19,B1P1,S,0.66,39.6,-1.61,11.93,7.41,2.19,59.3,7.57
1,20,B1P1,S,0.63,39.5,-1.6,11.93,7.41,2.21,59.33,7.53
1,21,B1P1,S,0.65,39.5,-1.59,11.91,7.39,2.22,59.4,7.5
1,22,B1P1,S,0.61,39.5,-1.59,11.88,7.38,2.23,59.4,7.48
1,23,B1P1,S,0.61,39.48,-1.59,11.87,7.36,2.24,59.4,7.45
1,0,B1P1,S,0.54,39.4,-1.6,11.85,7.35,2.25,59.4,7.4
1,1,B1P1,S,0.61,39.35,-1.57,11.83,7.33,2.27,59.4,7.34
1,2,B1P1,S,0.54,39.3,-1.6,11.8,7.32,2.28,59.4,7.29
1,3,B1P1,S,0.61,39.26,-1.57,11.78,7.31,2.29,59.4,7.24
1,4,B1P1,S,0.64,39.2,-1.57,11.76,7.3,2.3,59.4,7.19
1,5,B1P1,S,0.56,39.13,-1.57,11.75,7.29,2.32,59.4,7.14
1,6,B1P1,S,0.61,39.1,-1.56,11.72,7.26,2.34,59.4,7.1
1,7,B1P1,S,0.62,39.03,-1.57,11.71,7.25,2.36,59.4,7.06
1,8,B1P1,S,0.49,39,-1.59,11.68,7.23,2.35,59.4,7.03
1,9,B1P1,S,0.45,38.92,-1.58,11.67,7.23,2.35,59.37,6.99
1,10,B1P1,S,0.28,38.9,-1.6,11.7,7.25,2.35,59.3,6.99
1,11,B1P1,S,0.16,38.9,-1.62,11.73,7.26,2.32,59.3,7
1,12,B1P1,S,0.08,38.94,-1.65,11.76,7.28,2.28,59.25,7.06
1,13,B1P1,S,0.15,39.03,-1.65,11.8,7.3,2.26,59.2,7.18
1,14,B1P1,S,-0.04,39.13,-1.67,11.83,7.32,2.22,59.2,7.27
1,15,B1P1,S,0.03,39.29,-1.69,11.89,7.33,2.18,59.1,7.43
1,16,B1P1,S,0.31,39.34,-1.64,11.93,7.36,2.18,59.1,7.48
1,17,B1P1,S,0.52,39.4,-1.63,11.96,7.39,2.18,59.2,7.51
1,18,B1P1,S,0.61,39.4,-1.6,11.97,7.4,2.18,59.2,7.51
1,19,B1P1,S,0.63,39.4,-1.58,11.99,7.42,2.2,59.2,7.5
2,20,B1P1,S,0.51,39.4,-1.59,11.98,7.4,2.2,59.2,7.49
2,21,B1P1,S,0.46,39.4,-1.6,11.97,7.39,2.21,59.2,7.47
2,22,B1P1,S,0.64,39.4,-1.59,11.96,7.38,2.23,59.2,7.45
2,23,B1P1,S,0.55,39.36,-1.6,11.95,7.37,2.23,59.2,7.43
2,0,B1P1,S,0.42,39.3,-1.61,11.93,7.36,2.25,59.2,7.41
2,1,B1P1,S,0.62,39.3,-1.57,11.9,7.34,2.25,59.2,7.39
2,2,B1P1,S,0.58,39.29,-1.59,11.87,7.33,2.26,59.2,7.37
2,3,B1P1,S,0.55,39.2,-1.58,11.84,7.3,2.27,59.2,7.33
2,4,B1P1,S,0.6,39.2,-1.58,11.83,7.3,2.27,59.2,7.32
2,5,B1P1,S,0.61,39.18,-1.58,11.8,7.28,2.29,59.2,7.3
2,6,B1P1,S,0.74,39.1,-1.57,11.75,7.25,2.3,59.12,7.26
2,7,B1P1,S,0.59,39.07,-1.6,11.72,7.23,2.31,59.1,7.23
