KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;09/12/2021 23:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.02;0.14;1.24;-0.18;2.9;-0.129;2.84;0.95;4.3;92.0;92.0;10.98;-0.184;0.00;4.2;0.21;0.21;5.86;16.41;3;77.92;0;NA;34.8;7.706;-0.129;4.31;0.0
;;;STANDARD DEVIATION:;0.15;0.28;0.48;0.92;8.7;0.187;2.70;0.90;12.9;1.6;1.6;0.38;0.266;0.01;12.7;0.30;0.30;2.91;8.14;8;73.45;0;0.37;22.0;0.772;0.187;0.06;0.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
09/12/2021;15:54:16;0.0;VW-See;0.03;0.24;1.40;0.14;0.8;-0.164;2.43;0.81;1.3;89.8;89.8;10.71;-0.233;0.00;1.3;0.18;0.18;5.82;16.30;1;193.92;0;5.31;75.1;7.681;-0.164;4.48;0.0
09/12/2021;15:54:17;0.0;VW-See;0.01;0.22;1.35;0.09;0.8;-0.165;2.51;0.84;1.3;89.8;89.8;10.72;-0.234;0.00;1.3;0.19;0.19;5.96;16.68;1;194.14;0;5.30;75.5;7.670;-0.165;4.48;0.0
09/12/2021;15:54:18;0.0;VW-See;0.02;0.18;1.37;-0.04;0.8;-0.165;2.36;0.79;1.3;89.8;89.8;10.72;-0.234;0.00;1.3;0.26;0.26;5.78;16.18;1;194.20;0;5.29;75.9;7.657;-0.165;4.47;0.0
09/12/2021;15:54:19;0.0;VW-See;0.08;0.18;1.55;-0.05;0.8;-0.164;2.52;0.84;1.3;89.8;89.8;10.73;-0.234;0.00;1.3;0.25;0.25;5.73;16.04;1;194.12;0;5.29;75.9;7.651;-0.164;4.47;0.0
09/12/2021;15:54:20;0.0;VW-See;-0.01;0.26;1.27;0.21;0.8;-0.164;2.47;0.82;1.3;89.9;89.9;10.73;-0.234;0.00;1.3;0.21;0.21;5.56;15.56;1;194.01;0;5.31;74.9;7.660;-0.165;4.47;0.0
