KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B3P4 Sept 18, 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/18/2021 11:46:15 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.17;0.07;1.84;-0.39;2.0;0.103;3.03;1.01;3.0;93.6;93.6;11.06;0.147;0.00;3.0;0.18;0.18;5.35;14.97;2;4134.53;0;NA;23.1;8.124;0.106;3.79;0.2
;;;STANDARD DEVIATION:;0.43;0.02;1.34;0.05;5.7;0.241;3.73;1.24;8.7;3.2;3.2;0.54;0.343;0.00;8.5;0.29;0.29;0.15;0.41;6;8010.90;0;0.41;24.4;0.736;0.245;0.16;1.1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/18/2021;17:40:02;0.0;;-0.28;0.08;0.42;-0.38;28.4;0.179;9.28;3.09;42.7;96.9;96.9;11.48;0.254;0.02;42.0;-0.64;-0.64;4.99;13.97;27;0.73;0;7.95;-82.0;8.024;0.393;3.75;0.0
9/18/2021;17:40:04;0.0;;-0.31;0.08;0.34;-0.38;28.4;0.197;10.32;3.44;42.8;96.7;96.7;11.45;0.281;0.02;42.1;-0.76;-0.76;4.92;13.79;27;0.73;0;7.94;-81.4;8.023;0.391;3.76;0.0
9/18/2021;17:40:06;0.0;;-0.31;0.10;0.34;-0.32;28.4;0.213;11.29;3.76;42.8;96.6;96.6;11.43;0.303;0.02;42.0;-0.88;-0.88;4.88;13.66;27;0.72;0;7.93;-80.9;8.021;0.374;3.76;0.0
9/18/2021;17:40:08;0.0;;-0.32;0.10;0.32;-0.30;28.4;0.230;11.84;3.95;42.8;96.4;96.4;11.41;0.327;0.02;42.0;-0.91;-0.91;4.84;13.56;27;0.71;0;7.92;-80.4;8.021;0.392;3.76;0.0
9/18/2021;17:40:10;0.0;;-0.31;0.10;0.34;-0.29;28.4;0.250;11.85;3.95;42.8;96.3;96.3;11.40;0.356;0.02;42.0;-0.91;-0.91;4.86;13.61;27;0.72;0;7.92;-79.9;8.022;0.420;3.76;0.0
