KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFL2 Sept 14, 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/14/2021 10:40:44 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.14;0.10;0.87;-0.32;4.3;0.189;2.49;0.83;6.1;95.9;95.9;10.51;0.269;0.00;5.9;-0.14;-0.14;5.25;14.70;4;19.75;0;NA;26.6;11.330;0.189;4.31;0.1
;;;STANDARD DEVIATION:;0.11;0.07;0.36;0.23;9.2;0.825;0.44;0.15;12.9;2.4;2.4;0.40;1.173;0.01;12.7;0.30;0.30;0.24;0.68;8;8.02;0;0.45;27.5;2.513;0.825;0.06;0.9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/14/2021;17:34:37;0.0;VW-See;-0.03;0.12;1.20;-0.23;0.4;0.001;2.40;0.80;0.6;94.4;94.4;10.12;0.001;0.00;0.6;0.05;0.05;5.22;14.62;0;21.19;0;5.75;49.9;12.258;0.001;4.42;0.0
9/14/2021;17:34:38;0.0;VW-See;-0.10;0.11;0.99;-0.28;0.5;0.001;2.44;0.81;0.6;94.5;94.5;10.13;0.001;0.00;0.6;-0.01;-0.01;5.23;14.65;0;21.14;0;5.75;50.1;12.280;0.001;4.42;0.0
9/14/2021;17:34:39;0.0;VW-See;-0.12;0.12;0.92;-0.23;0.5;0.001;2.39;0.80;0.6;94.7;94.7;10.14;0.001;0.00;0.6;-0.19;-0.19;5.34;14.94;0;21.10;0;5.75;50.0;12.313;0.001;4.42;0.0
9/14/2021;17:34:40;0.0;VW-See;-0.10;0.10;1.00;-0.29;0.4;0.001;2.32;0.77;0.6;94.4;94.4;10.11;0.002;0.00;0.6;-0.01;-0.01;5.74;16.08;0;21.28;0;5.76;49.7;12.360;0.002;4.42;0.0
9/14/2021;17:34:41;0.0;VW-See;-0.04;0.12;1.18;-0.23;0.4;0.002;2.45;0.82;0.6;94.2;94.2;10.07;0.002;0.00;0.6;0.12;0.12;5.47;15.30;0;21.42;0;5.75;49.9;12.403;0.002;4.41;0.0
9/14/2021;17:34:42;0.0;VW-See;-0.04;0.15;1.17;-0.14;0.5;0.001;2.36;0.79;0.6;94.4;94.4;10.08;0.002;0.00;0.6;0.10;0.10;5.21;14.59;0;21.28;0;5.75;50.4;12.406;0.001;4.41;0.0
9/14/2021;17:34:43;0.0;VW-See;-0.15;0.07;0.82;-0.40;0.5;0.001;2.23;0.74;0.6;94.4;94.4;10.09;0.002;0.00;0.6;0.07;0.07;5.17;14.49;0;21.21;0;5.75;50.2;12.413;0.002;4.41;0.0
9/14/2021;17:34:44;0.0;VW-See;-0.19;0.09;0.71;-0.35;0.4;0.002;2.37;0.79;0.6;94.0;94.0;10.03;0.002;0.00;0.6;-0.12;-0.12;5.49;15.37;0;21.15;0;5.76;49.6;12.401;0.002;4.41;0.0
9/14/2021;17:34:45;0.0;VW-See;-0.06;0.16;1.11;-0.10;0.4;0.002;2.41;0.80;0.6;94.0;94.0;10.03;0.002;0.00;0.6;-0.09;-0.09;5.79;16.22;0;21.30;0;5.76;49.8;12.396;0.002;4.41;0.0
9/14/2021;17:34:46;0.0;VW-See;-0.01;0.22;1.28;0.07;0.5;0.002;2.36;0.79;0.6;94.2;94.2;10.07;0.003;0.00;0.6;0.05;0.05;5.43;15.20;0;21.44;0;5.75;49.9;12.447;0.002;4.41;0.0
9/14/2021;17:34:47;0.0;VW-See;0.05;0.15;1.45;-0.13;0.5;0.003;2.49;0.83;0.6;94.4;94.4;10.07;0.004;0.00;0.6;0.01;0.01;5.25;14.69;0;21.30;0;5.76;49.6;12.487;0.003;4.41;0.0
9/14/2021;17:34:48;0.0;VW-See;-0.03;0.08;1.21;-0.39;0.4;0.002;2.46;0.82;0.6;94.3;94.3;10.06;0.003;0.00;0.6;-0.02;-0.02;5.28;14.79;0;21.40;0;5.76;49.7;12.495;0.001;4.41;0.0
9/14/2021;17:34:49;0.0;VW-See;-0.11;0.19;0.95;-0.02;0.5;0.001;2.31;0.77;0.6;94.4;94.4;10.06;0.002;0.00;0.6;-0.04;-0.04;5.06;14.17;0;21.37;0;5.75;49.9;12.483;0.001;4.41;0.0
