KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;09.12.2021 10:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.09;1.07;1.58;2.86;9.2;0.025;3.69;1.23;12.6;94.6;94.6;10.6;0.036;0.01;12.4;0.39;0.39;5.67;15.88;8;23.97;0;NA;-54.3;10.303;0.025;4.49;0.1
;;;STANDARD DEVIATION:;0.38;1.63;1.19;5.31;26.1;0.416;4.69;1.56;35.5;1.3;1.3;0.06;0.591;0.02;34.9;0.7;0.7;0.28;0.77;23;7.24;0;0.39;23.5;0.504;0.416;0.05;0.8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
09.11.2021;13:42:29;0;VW-See;0.8;3.82;3.82;11.83;0.6;-0.061;2.23;0.74;0.9;94;94;10.61;-0.087;0;0.9;1.67;1.67;6.03;16.88;1;24.79;0;6.99;-24.5;10.032;-0.061;4.63;0
09.11.2021;13:42:30;0;VW-See;0.81;3.83;3.84;11.87;0.6;-0.061;2.23;0.74;0.9;94;94;10.61;-0.087;0;0.9;1.58;1.58;5.95;16.67;1;24.77;0;6.97;-23.8;10.032;-0.061;4.63;0
09.11.2021;13:42:31;0;VW-See;0.71;3.83;3.54;11.86;0.7;-0.062;2.25;0.75;0.9;94.1;94.1;10.61;-0.088;0;0.9;1.54;1.54;5.8;16.25;1;24.79;0;6.96;-23.2;10.032;-0.062;4.63;0
09.11.2021;13:42:32;0;VW-See;0.71;3.85;3.51;11.94;0.6;-0.061;2.25;0.75;0.9;94.1;94.1;10.61;-0.087;0;0.9;1.63;1.63;5.71;15.99;1;24.83;0;6.96;-23.1;10.024;-0.061;4.63;0
09.11.2021;13:42:33;0;VW-See;0.81;3.82;3.83;11.85;0.6;-0.061;2.27;0.76;0.9;94.1;94.1;10.61;-0.087;0;0.9;1.66;1.66;5.8;16.25;1;24.78;0;6.96;-23.3;10.025;-0.061;4.63;0
09.11.2021;13:42:34;0;VW-See;0.81;3.76;3.84;11.64;0.6;-0.061;2.31;0.77;0.9;94.1;94.1;10.62;-0.087;0;0.9;1.66;1.66;5.88;16.48;1;24.7;0;6.96;-22.8;10.029;-0.061;4.63;0
09.11.2021;13:42:35;0;VW-See;0.77;3.79;3.72;11.73;0.6;-0.061;2.31;0.77;0.9;94.1;94.1;10.61;-0.087;0;0.9;1.57;1.57;5.99;16.76;1;24.69;0;6.96;-23;10.027;-0.061;4.63;0
09.11.2021;13:42:36;0;VW-See;0.79;3.89;3.77;12.05;0.6;-0.061;2.29;0.76;0.9;94.1;94.1;10.61;-0.087;0;0.9;1.54;1.54;6.01;16.82;1;24.7;0;6.95;-22.6;10.023;-0.061;4.63;0
09.11.2021;13:42:37;0;VW-See;0.82;3.91;3.86;12.14;0.6;-0.062;2.3;0.77;0.9;94;94;10.61;-0.087;0;0.9;1.61;1.61;6.1;17.07;1;24.63;0;6.93;-21;10.009;-0.062;4.63;0
09.11.2021;13:42:38;0;VW-See;0.87;3.96;4.03;12.28;0.7;-0.06;2.33;0.78;0.9;94;94;10.61;-0.085;0;0.9;1.71;1.71;6.07;17.01;1;24.53;0;6.92;-20.6;9.994;-0.059;4.63;0
09.11.2021;13:42:39;0;VW-See;0.81;3.97;3.83;12.32;0.8;-0.059;2.46;0.82;1.1;93.9;93.9;10.6;-0.083;0;1.1;1.61;1.61;5.88;16.46;1;24.35;0;6.91;-19.8;9.965;-0.059;4.59;0
09.11.2021;13:42:40;0;VW-See;0.71;3.92;3.53;12.16;0.9;-0.058;2.47;0.82;1.2;93.9;93.9;10.61;-0.083;0;1.2;1.49;1.49;5.88;16.46;1;24.31;0;6.92;-20.7;9.945;-0.058;4.59;0
09.11.2021;13:42:41;0;VW-See;0.82;3.93;3.88;12.19;0.9;-0.059;2.35;0.78;1.3;94;94;10.63;-0.083;0;1.2;1.67;1.67;6.02;16.86;1;24.35;0;6.95;-22.4;9.942;-0.059;4.59;0
09.11.2021;13:42:42;0;VW-See;0.92;3.94;4.2;12.23;0.9;-0.059;2.42;0.81;1.3;94.1;94.1;10.63;-0.084;0;1.2;1.79;1.79;5.88;16.46;1;24.43;0;6.97;-23.5;9.945;-0.059;4.59;0
09.11.2021;13:42:43;0;VW-See;0.81;3.92;3.85;12.15;0.9;-0.058;2.46;0.82;1.3;94.1;94.1;10.63;-0.083;0;1.2;1.62;1.62;5.83;16.32;1;24.47;0;6.97;-23.7;9.947;-0.058;4.59;0
09.11.2021;13:42:44;0;VW-See;0.65;3.88;3.33;12.03;0.9;-0.058;2.49;0.83;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.39;1.39;5.9;16.53;1;24.47;0;6.97;-23.4;9.947;-0.059;4.59;0
09.11.2021;13:42:45;0;VW-See;0.7;3.86;3.51;11.97;0.9;-0.059;2.5;0.83;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.48;1.48;5.84;16.34;1;24.51;0;6.97;-23.7;9.949;-0.059;4.59;0
09.11.2021;13:42:46;0;VW-See;0.9;3.86;4.11;11.97;0.9;-0.059;2.39;0.8;1.2;94.1;94.1;10.63;-0.084;0;1.2;1.75;1.75;5.95;16.67;1;24.54;0;6.97;-23.7;9.949;-0.059;4.59;0
09.11.2021;13:42:47;0;VW-See;0.98;3.85;4.39;11.93;0.9;-0.059;2.32;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.92;1.92;5.91;16.55;1;24.56;0;6.97;-23.5;9.948;-0.058;4.59;0
09.11.2021;13:42:48;0;VW-See;0.8;3.89;3.8;12.06;0.9;-0.058;2.44;0.81;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.77;1.77;5.79;16.21;1;24.54;0;6.97;-23.7;9.948;-0.058;4.59;0
09.11.2021;13:42:49;0;VW-See;0.65;3.89;3.35;12.05;0.9;-0.058;2.5;0.83;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.48;1.48;5.96;16.68;1;24.69;0;6.99;-24.7;9.949;-0.058;4.58;0
09.11.2021;13:42:50;0;VW-See;0.72;3.89;3.57;12.06;0.9;-0.058;2.46;0.82;1.2;94.2;94.2;10.64;-0.083;0;1.2;1.55;1.55;6.07;17.01;1;25.19;0;7.05;-28.6;9.971;-0.059;4.58;0
09.11.2021;13:42:51;0;VW-See;0.81;3.93;3.85;12.19;0.9;-0.059;2.46;0.82;1.2;94.2;94.2;10.64;-0.083;0;1.2;1.73;1.73;6.02;16.85;1;25.3;0;7.06;-28.9;9.987;-0.059;4.58;0
09.11.2021;13:42:52;0;VW-See;0.84;3.87;3.94;11.99;0.9;-0.059;2.38;0.79;1.2;94.1;94.1;10.62;-0.084;0;1.2;1.72;1.72;5.95;16.65;1;25.04;0;7;-25.3;9.979;-0.059;4.58;0
09.11.2021;13:42:53;0;VW-See;0.73;3.86;3.59;11.95;0.9;-0.059;2.36;0.79;1.2;94;94;10.62;-0.084;0;1.2;1.58;1.58;5.87;16.44;1;24.87;0;6.96;-22.9;9.966;-0.059;4.58;0
09.11.2021;13:42:54;0;VW-See;0.64;3.89;3.3;12.05;0.9;-0.059;2.4;0.8;1.2;94;94;10.62;-0.084;0;1.2;1.34;1.34;5.76;16.13;1;24.67;0;6.95;-22.2;9.953;-0.059;4.58;0
09.11.2021;13:42:55;0;VW-See;0.69;3.87;3.48;12.01;0.9;-0.058;2.38;0.79;1.2;94.1;94.1;10.63;-0.083;0;1.2;1.36;1.36;5.81;16.28;1;24.61;0;6.96;-22.9;9.948;-0.058;4.58;0
09.11.2021;13:42:56;0;VW-See;0.86;3.86;4;11.97;0.9;-0.058;2.37;0.79;1.2;94.1;94.1;10.63;-0.083;0;1.2;1.63;1.63;5.87;16.44;1;24.59;0;6.96;-23;9.949;-0.058;4.58;0
09.11.2021;13:42:57;0;VW-See;0.9;3.91;4.13;12.12;0.9;-0.059;2.4;0.8;1.2;94.1;94.1;10.63;-0.084;0;1.2;1.82;1.82;5.92;16.58;1;24.63;0;6.96;-23;9.948;-0.059;4.58;0
09.11.2021;13:42:58;0;VW-See;0.88;3.9;4.06;12.1;0.9;-0.059;2.43;0.81;1.2;94.1;94.1;10.63;-0.084;0;1.2;1.86;1.86;6;16.79;1;24.59;0;6.96;-22.8;9.944;-0.059;4.58;0
09.11.2021;13:42:59;0;VW-See;0.87;3.89;4.03;12.05;0.9;-0.059;2.47;0.82;1.2;94.1;94.1;10.63;-0.083;0;1.2;1.83;1.83;5.93;16.61;1;24.57;0;6.95;-22.2;9.941;-0.059;4.58;0
09.11.2021;13:43:00;0;VW-See;0.73;3.89;3.6;12.07;0.9;-0.059;2.3;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.7;1.7;5.89;16.49;1;24.5;0;6.95;-22.2;9.938;-0.059;4.58;0
09.11.2021;13:43:01;0;VW-See;0.63;3.87;3.29;12.01;0.9;-0.059;2.26;0.75;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.46;1.46;6.05;16.95;1;24.45;0;6.96;-22.8;9.936;-0.059;4.58;0
09.11.2021;13:43:02;0;VW-See;0.64;3.87;3.32;12;0.9;-0.059;2.34;0.78;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.32;1.32;6.09;17.06;1;24.47;0;6.96;-23.2;9.937;-0.059;4.58;0
09.11.2021;13:43:03;0;VW-See;0.66;3.91;3.36;12.13;0.9;-0.059;2.32;0.77;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.4;1.4;5.98;16.74;1;24.58;0;6.97;-23.5;9.939;-0.059;4.58;0
09.11.2021;13:43:04;0;VW-See;0.73;3.95;3.59;12.26;0.9;-0.059;2.36;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.56;1.56;6.04;16.91;1;24.6;0;6.97;-23.8;9.94;-0.059;4.58;0
09.11.2021;13:43:05;0;VW-See;0.85;3.87;3.98;12.01;0.9;-0.058;2.37;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.66;1.66;5.97;16.73;1;24.51;0;6.98;-24;9.941;-0.058;4.58;0
09.11.2021;13:43:06;0;VW-See;0.9;3.85;4.11;11.94;0.9;-0.059;2.3;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.79;1.79;6.02;16.86;1;24.54;0;6.97;-23.7;9.939;-0.059;4.58;0
09.11.2021;13:43:07;0;VW-See;0.85;3.88;3.98;12.02;0.9;-0.059;2.33;0.78;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.86;1.86;6.1;17.07;1;24.61;0;6.96;-23.2;9.938;-0.058;4.58;0
09.11.2021;13:43:08;0;VW-See;0.76;3.9;3.69;12.08;0.9;-0.058;2.32;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.66;1.66;5.89;16.5;1;24.58;0;6.97;-23.6;9.938;-0.058;4.58;0
09.11.2021;13:43:09;0;VW-See;0.67;3.92;3.41;12.15;0.8;-0.058;2.36;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.41;1.41;5.88;16.46;1;24.57;0;6.97;-23.9;9.939;-0.059;4.59;0
09.11.2021;13:43:10;0;VW-See;0.65;3.88;3.35;12.04;0.8;-0.059;2.42;0.81;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.31;1.31;6.04;16.92;1;24.62;0;6.97;-23.7;9.94;-0.059;4.59;0
09.11.2021;13:43:11;0;VW-See;0.74;3.88;3.62;12.04;0.9;-0.059;2.42;0.81;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.38;1.38;6.02;16.85;1;24.58;0;6.97;-23.5;9.941;-0.059;4.59;0
09.11.2021;13:43:12;0;VW-See;0.89;3.86;4.08;11.97;0.8;-0.059;2.39;0.8;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.6;1.6;5.75;16.1;1;24.58;0;6.97;-23.9;9.942;-0.059;4.59;0
09.11.2021;13:43:13;0;VW-See;0.92;3.85;4.2;11.92;0.8;-0.059;2.33;0.78;1.2;94.1;94.1;10.63;-0.084;0;1.2;1.75;1.75;5.75;16.11;1;24.67;0;6.98;-24.3;9.943;-0.059;4.59;0
09.11.2021;13:43:14;0;VW-See;0.83;3.87;3.91;12.01;0.9;-0.059;2.48;0.83;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.73;1.73;6.03;16.88;1;24.66;0;6.98;-24.5;9.943;-0.059;4.59;0
09.11.2021;13:43:15;0;VW-See;0.77;3.88;3.71;12.03;0.8;-0.059;2.58;0.86;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.56;1.56;6.22;17.41;1;24.67;0;6.98;-24.5;9.943;-0.059;4.59;0
09.11.2021;13:43:16;0;VW-See;0.71;3.9;3.53;12.1;0.8;-0.059;2.44;0.81;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.39;1.39;6.14;17.2;1;24.72;0;6.98;-24.4;9.943;-0.059;4.59;0
09.11.2021;13:43:17;0;VW-See;0.6;3.87;3.18;12;0.9;-0.059;2.36;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.38;1.38;5.89;16.48;1;24.64;0;6.97;-23.9;9.944;-0.059;4.59;0
09.11.2021;13:43:18;0;VW-See;0.73;3.84;3.59;11.9;0.9;-0.059;2.34;0.78;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.55;1.55;5.99;16.77;1;24.61;0;6.96;-22.8;9.944;-0.059;4.59;0
09.11.2021;13:43:19;0;VW-See;0.93;3.85;4.22;11.93;0.9;-0.059;2.38;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.79;1.79;6.07;16.99;1;24.62;0;6.96;-22.8;9.943;-0.059;4.59;0
09.11.2021;13:43:20;0;VW-See;0.88;3.88;4.06;12.02;0.9;-0.058;2.45;0.82;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.77;1.77;5.92;16.59;1;24.57;0;6.96;-22.8;9.944;-0.058;4.59;0
09.11.2021;13:43:21;0;VW-See;0.77;3.9;3.73;12.08;0.8;-0.059;2.41;0.8;1.2;94.1;94.1;10.63;-0.083;0;1.2;1.46;1.46;6.03;16.87;1;24.53;0;6.95;-22.6;9.945;-0.059;4.59;0
09.11.2021;13:43:22;0;VW-See;0.7;3.88;3.5;12.04;0.8;-0.058;2.36;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.3;1.3;6.03;16.9;1;24.53;0;6.96;-22.9;9.946;-0.058;4.59;0
09.11.2021;13:43:23;0;VW-See;0.71;3.89;3.54;12.06;0.8;-0.058;2.4;0.8;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.42;1.42;5.83;16.34;1;24.59;0;6.97;-23.4;9.947;-0.058;4.59;0
09.11.2021;13:43:24;0;VW-See;0.86;3.89;3.99;12.05;0.9;-0.058;2.37;0.79;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.66;1.66;5.82;16.3;1;24.65;0;6.97;-23.4;9.949;-0.058;4.59;0
09.11.2021;13:43:25;0;VW-See;0.91;3.87;4.15;11.99;0.9;-0.058;2.32;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.72;1.72;5.87;16.44;1;24.6;0;6.97;-23.8;9.951;-0.059;4.59;0
09.11.2021;13:43:26;0;VW-See;0.79;3.89;3.77;12.07;0.8;-0.059;2.32;0.77;1.2;94.1;94.1;10.64;-0.083;0;1.2;1.59;1.59;5.82;16.3;1;24.58;0;6.98;-24.3;9.951;-0.059;4.59;0
09.11.2021;13:43:27;0;VW-See;0.72;3.92;3.57;12.15;0.9;-0.059;2.34;0.78;1.2;94.1;94.1;10.64;-0.084;0;1.2;1.4;1.4;5.99;16.78;1;24.56;0;6.97;-23.4;9.95;-0.059;4.59;0
09.11.2021;13:43:28;0;VW-See;0.81;3.95;3.83;12.24;0.9;-0.059;2.37;0.79;1.2;94.2;94.2;10.64;-0.083;0;1.2;1.57;1.57;6.23;17.43;1;27.92;0;6.97;-23.7;9.958;-0.059;4.59;0
09.11.2021;13:43:29;0;VW-See;0.91;3.96;4.15;12.28;0.9;-0.059;2.39;0.8;1.2;94.3;94.3;10.65;-0.084;0;1.2;1.78;1.78;6.07;17;1;42.29;0;7.02;-26.4;10.004;-0.059;4.59;0
09.11.2021;13:43:30;0;VW-See;0.83;3.94;3.9;12.22;0.9;-0.059;2.38;0.79;1.2;94.2;94.2;10.64;-0.084;0;1.2;1.61;1.61;5.82;16.28;1;43.89;0;6.87;-17.7;10.028;-0.059;4.59;0
09.11.2021;13:43:31;0;VW-See;0.66;3.94;3.38;12.24;0.9;-0.059;2.37;0.79;1.2;94.1;94.1;10.61;-0.084;0;1.2;1.33;1.33;5.74;16.07;1;44.75;0;6.9;-19.6;10.002;-0.058;4.59;0
09.11.2021;13:43:32;0;VW-See;0.74;3.97;3.63;12.31;0.9;-0.059;2.34;0.78;1.2;94;94;10.61;-0.083;0;1.2;1.45;1.45;5.96;16.69;1;44.58;0;6.88;-18.5;9.982;-0.059;4.59;0
09.11.2021;13:43:33;0;VW-See;0.9;3.96;4.12;12.29;0.9;-0.059;2.35;0.78;1.2;94;94;10.62;-0.083;0;1.2;1.9;1.9;6.06;16.96;1;44.57;0;6.89;-19.1;9.971;-0.059;4.59;0
09.11.2021;13:43:34;0;VW-See;0.84;3.98;3.92;12.35;0.9;-0.059;2.39;0.8;1.2;94;94;10.62;-0.083;0;1.2;1.83;1.83;5.84;16.34;1;44.54;0;6.9;-19.2;9.953;-0.058;4.59;0
09.11.2021;13:43:35;0;VW-See;0.72;3.97;3.57;12.32;0.9;-0.058;2.36;0.79;1.2;94;94;10.62;-0.083;0;1.2;1.4;1.4;5.8;16.23;1;44.32;0;6.9;-19.5;9.945;-0.059;4.59;0
09.11.2021;13:43:36;0;VW-See;0.73;3.95;3.58;12.27;0.9;-0.058;2.39;0.8;1.2;94;94;10.63;-0.083;0;1.2;1.32;1.32;5.88;16.47;1;43.66;0;6.89;-18.6;9.935;-0.058;4.59;0
09.11.2021;13:43:37;0;VW-See;0.82;3.96;3.89;12.28;0.9;-0.058;2.51;0.84;1.2;94;94;10.62;-0.083;0;1.2;1.59;1.59;6.02;16.84;1;42.99;0;6.88;-18.5;9.915;-0.059;4.59;0
09.11.2021;13:43:38;0;VW-See;0.91;3.96;4.15;12.29;0.9;-0.059;2.38;0.79;1.2;93.9;93.9;10.63;-0.083;0;1.2;1.75;1.75;6.01;16.83;1;42.47;0;6.9;-19.3;9.901;-0.059;4.59;0
09.11.2021;13:43:39;0;VW-See;0.87;3.95;4.02;12.26;0.9;-0.059;2.33;0.78;1.2;93.9;93.9;10.63;-0.083;0;1.2;1.66;1.66;5.99;16.78;1;41.81;0;6.91;-20.2;9.896;-0.059;4.59;0
09.11.2021;13:43:40;0;VW-See;0.76;3.96;3.68;12.3;0.9;-0.059;2.45;0.82;1.2;94;94;10.64;-0.083;0;1.2;1.43;1.43;5.95;16.66;1;41.18;0;6.92;-20.4;9.897;-0.059;4.59;0
09.11.2021;13:43:41;0;VW-See;0.73;3.99;3.6;12.39;0.9;-0.059;2.43;0.81;1.2;94;94;10.63;-0.084;0;1.2;1.48;1.48;5.99;16.78;1;40.78;0;6.9;-19.5;9.896;-0.059;4.59;0
09.11.2021;13:43:42;0;VW-See;0.8;3.98;3.81;12.35;0.9;-0.059;2.38;0.79;1.2;94;94;10.63;-0.084;0;1.2;1.72;1.72;6.03;16.87;1;40.39;0;6.9;-19.6;9.893;-0.059;4.59;0
09.11.2021;13:43:43;0;VW-See;0.82;3.98;3.86;12.35;0.9;-0.059;2.37;0.79;1.2;94;94;10.64;-0.084;0;1.2;1.73;1.73;5.94;16.63;1;40.02;0;6.91;-20;9.892;-0.059;4.59;0
09.11.2021;13:43:44;0;VW-See;0.68;4.02;3.44;12.48;0.9;-0.059;2.45;0.82;1.2;94;94;10.64;-0.084;0;1.2;1.48;1.48;6.11;17.11;1;27.63;0;6.91;-19.9;9.89;-0.059;4.59;0
09.11.2021;13:43:45;0;VW-See;0.68;4.09;3.43;12.71;0.9;-0.06;2.39;0.8;1.2;93.9;93.9;10.63;-0.085;0;1.2;1.37;1.37;6.14;17.18;1;26.7;0;6.9;-19.5;9.884;-0.06;4.59;0
