Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERL 85; Sept 21;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/22/2021 12:30:19 AM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;3.07;5.93;10.92;18.71;6.6;0.353;2.36;0.79;9.9;98.3;98.3;11.4;0.501;0;9.8;4.42;4.42;21.88;61.26;6;22.35;0;NA;-28.2;8.963;0.359;5.6;0.1
;;;STANDARD DEVIATION:;5.67;10.64;17.74;34.72;22.5;0.666;0.68;0.23;34.1;1;1;0.55;0.948;0.02;33.5;8.08;8.08;29.98;83.93;22;5.6;0;0.79;47.5;2.08;0.692;0.08;1.1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/21/2021;12:37:49;0;;-0.02;0.07;1.24;-0.41;0.5;0.261;2.39;0.8;0.7;96.6;96.6;10.86;0.371;0;0.7;0.07;0.07;5.44;15.23;0;22.51;0;5.97;36.6;10.182;0.262;6.1;11.5
9/21/2021;12:37:51;0;;-0.02;0.06;1.24;-0.44;0.5;0.261;2.39;0.8;0.7;96.7;96.7;10.87;0.371;0;0.7;0.07;0.07;5.43;15.19;0;22.5;0;5.97;36.3;10.193;0.26;6.1;11.5
9/21/2021;12:37:53;0;;-0.01;0.04;1.27;-0.49;0.5;0.261;2.4;0.8;0.7;96.7;96.7;10.87;0.371;0;0.7;0.08;0.08;5.44;15.24;0;22.49;0;5.97;36.1;10.196;0.262;6.1;11.5
9/21/2021;12:37:55;0;;-0.01;0.05;1.28;-0.48;0.5;0.261;2.42;0.81;0.7;96.6;96.6;10.86;0.371;0;0.7;0.08;0.08;5.43;15.21;0;22.51;0;5.97;36.1;10.187;0.262;6.1;11.5
9/21/2021;12:37:57;0;;-0.01;0.07;1.28;-0.41;0.5;0.261;2.43;0.81;0.7;96.5;96.5;10.85;0.371;0;0.7;0.06;0.06;5.45;15.26;0;22.51;0;5.94;38.2;10.167;0.262;6.1;11.5
9/21/2021;12:37:59;0;;-0.02;0.08;1.24;-0.36;0.5;0.261;2.43;0.81;0.7;96.5;96.5;10.85;0.371;0;0.7;0.07;0.07;5.44;15.24;0;22.51;0;5.97;36.3;10.158;0.262;6.1;11.5
