Pond,Replicate,Treatment,Chlorophyll_RFU,BGAPC_RFU,ODO_sat,fDOM_RFU,Time_seq,Hour,Ten_min,Variable
B1P1,1,G,,,,,0,0,0,MEAN
B1P1,1,G,0.23,-1.46,101.44,3.25,0,0,1,MEAN
B1P1,1,G,0.22,-1.46,101.56,3.26,0,0,2,MEAN
B1P1,1,G,0.28,-1.42,101.87,3.26,0,0,3,MEAN
B1P1,1,G,0.28,-1.43,102.38,3.29,0,0,4,MEAN
B1P1,1,G,0.17,-1.46,102.13,3.29,0,0,5,MEAN
B1P1,1,G,0.15,-1.48,101.13,3.24,0,1,0,MEAN
B1P1,1,G,0.17,-1.46,101.07,3.22,0,1,1,MEAN
B1P1,1,G,0.41,-1.45,101.44,3.21,0,1,2,MEAN
B1P1,1,G,0.4,-1.44,101.22,3.21,0,1,3,MEAN
B1P1,1,G,0.23,-1.4,100.79,3.22,0,1,4,MEAN
B1P1,1,G,0.22,-1.42,100.69,3.24,0,1,5,MEAN
B1P1,1,G,0.22,-1.44,100.76,3.24,0,2,0,MEAN
B1P1,1,G,0.24,-1.45,100.96,3.24,0,2,1,MEAN
B1P1,1,G,0.11,-1.46,101.27,3.22,0,2,2,MEAN
B1P1,1,G,0.14,-1.46,101.09,3.22,0,2,3,MEAN
B1P1,1,G,0.18,-1.46,100.86,3.24,0,2,4,MEAN
B1P1,1,G,0.11,-1.48,101.07,3.28,0,2,5,MEAN
B1P1,1,G,0.16,-1.45,101.5,3.3,0,3,0,MEAN
B1P1,1,G,0.22,-1.46,101.6,3.3,0,3,1,MEAN
B1P1,1,G,0.19,-1.46,101.29,3.29,0,3,2,MEAN
B1P1,1,G,0.12,-1.42,101.3,3.3,0,3,3,MEAN
B1P1,1,G,0.15,-1.46,101.38,3.3,0,3,4,MEAN
B1P1,1,G,0.26,-1.44,101.05,3.29,0,3,5,MEAN
B1P1,1,G,0.39,-1.42,101.07,3.28,0,4,0,MEAN
B1P1,1,G,0.31,-1.44,101.39,3.28,0,4,1,MEAN
B1P1,1,G,0.12,-1.49,101.17,3.27,0,4,2,MEAN
B1P1,1,G,0.23,-1.47,100.79,3.26,0,4,3,MEAN
B1P1,1,G,0.14,-1.42,100.57,3.26,0,4,4,MEAN
B1P1,1,G,-0.03,-1.46,100.44,3.26,0,4,5,MEAN
B1P1,1,G,0.02,-1.51,100.51,3.26,0,5,0,MEAN
B1P1,1,G,0.05,-1.5,100.59,3.26,0,5,1,MEAN
B1P1,1,G,-0.02,-1.48,100.64,3.25,0,5,2,MEAN
B1P1,1,G,0,-1.48,100.68,3.24,0,5,3,MEAN
B1P1,1,G,0.11,-1.45,100.61,3.25,0,5,4,MEAN
B1P1,1,G,0.11,-1.44,100.51,3.26,0,5,5,MEAN
B1P1,1,G,0.08,-1.46,100.39,3.26,0,6,0,MEAN
B1P1,1,G,0.06,-1.43,100.07,3.26,0,6,1,MEAN
B1P1,1,G,0.12,-1.45,100.1,3.26,0,6,2,MEAN
B1P1,1,G,0.12,-1.48,100.23,3.26,0,6,3,MEAN
B1P1,1,G,0.06,-1.46,100.09,3.26,0,6,4,MEAN
B1P1,1,G,0.34,-1.46,99.88,3.26,0,6,5,MEAN
B1P1,1,G,0.37,-1.46,100,3.26,0,7,0,MEAN
B1P1,1,G,0.21,-1.42,99.69,3.26,0,7,1,MEAN
B1P1,1,G,0.27,-1.38,98.98,3.26,0,7,2,MEAN
B1P1,1,G,0.26,-1.41,99,3.23,0,7,3,MEAN
B1P1,1,G,0.22,-1.45,98.89,3.18,0,7,4,MEAN
B1P1,1,G,0.13,-1.46,98.79,3.17,0,7,5,MEAN
B1P1,1,G,0.12,-1.48,98.93,3.17,0,8,0,MEAN
B1P1,1,G,0.19,-1.46,99.01,3.16,0,8,1,MEAN
B1P1,1,G,0.16,-1.42,99.06,3.17,0,8,2,MEAN
B1P1,1,G,0.14,-1.48,99.01,3.17,0,8,3,MEAN
B1P1,1,G,0.14,-1.5,98.61,3.21,0,8,4,MEAN
B1P1,1,G,0.11,-1.42,98.69,3.25,0,8,5,MEAN
B1P1,1,G,0.14,-1.42,99.16,3.24,0,9,0,MEAN
B1P1,1,G,0.28,-1.42,99.39,3.21,0,9,1,MEAN
B1P1,1,G,0.17,-1.44,99.45,3.18,0,9,2,MEAN
B1P1,1,G,0.06,-1.44,99.43,3.16,0,9,3,MEAN
B1P1,1,G,0.1,-1.42,99.51,3.16,0,9,4,MEAN
B1P1,1,G,0.16,-1.44,99.65,3.17,0,9,5,MEAN
B1P1,1,G,0.2,-1.48,99.85,3.17,0,10,0,MEAN
B1P1,1,G,0.09,-1.52,100.03,3.16,0,10,1,MEAN
B1P1,1,G,0.06,-1.5,100.04,3.14,0,10,2,MEAN
B1P1,1,G,0.01,-1.46,100.04,3.11,0,10,3,MEAN
B1P1,1,G,0.07,-1.44,100.07,3.08,0,10,4,MEAN
B1P1,1,G,0.14,-1.44,100.06,3.08,0,10,5,MEAN
B1P1,1,G,0.05,-1.48,100.1,3.06,0,11,0,MEAN
B1P1,1,G,0.11,-1.46,100.12,3.04,0,11,1,MEAN
B1P1,1,G,0.15,-1.44,100.29,3.04,0,11,2,MEAN
B1P1,1,G,0.06,-1.47,100.38,3.04,0,11,3,MEAN
B1P1,1,G,0.09,-1.44,100.41,3.05,0,11,4,MEAN
B1P1,1,G,0.1,-1.42,100.48,3.06,0,11,5,MEAN
B1P1,1,G,0.12,-1.42,100.51,3.05,0,12,0,MEAN
B1P1,1,G,0.09,-1.46,100.57,3.04,0,12,1,MEAN
B1P1,1,G,0.02,-1.46,100.64,3.03,0,12,2,MEAN
B1P1,1,G,0.12,-1.46,100.73,3.02,0,12,3,MEAN
B1P1,1,G,0.11,-1.48,100.82,3.02,0,12,4,MEAN
B1P1,1,G,0.22,-1.43,100.9,3.01,0,12,5,MEAN
B1P1,1,G,0.26,-1.42,100.98,3.01,0,13,0,MEAN
B1P1,1,G,0.12,-1.48,101.04,3,0,13,1,MEAN
B1P1,1,G,0.1,-1.5,101.07,3,0,13,2,MEAN
B1P1,1,G,0.13,-1.48,101.29,2.99,0,13,3,MEAN
B1P1,1,G,0.19,-1.48,101.41,2.99,0,13,4,MEAN
B1P1,1,G,0.14,-1.46,101.34,3,0,13,5,MEAN
B1P1,1,G,0.2,-1.42,101.4,3,0,14,0,MEAN
B1P1,1,G,0.25,-1.4,101.54,3,0,14,1,MEAN
B1P1,1,G,0.23,-1.45,101.72,2.98,0,14,2,MEAN
B1P1,1,G,0.22,-1.47,101.84,2.95,0,14,3,MEAN
B1P1,1,G,0.2,-1.46,101.89,2.94,0,14,4,MEAN
B1P1,1,G,0.2,-1.46,101.94,2.94,0,14,5,MEAN
B1P1,1,G,0.2,-1.47,102.02,2.94,0,15,0,MEAN
B1P1,1,G,0.16,-1.46,102.1,2.95,0,15,1,MEAN
B1P1,1,G,0.12,-1.46,102.19,2.96,0,15,2,MEAN
B1P1,1,G,0.03,-1.48,102.05,3,0,15,3,MEAN
B1P1,1,G,-0.06,-1.5,101.94,3.04,0,15,4,MEAN
B1P1,1,G,0.02,-1.46,102.23,3,0,15,5,MEAN
B1P1,1,G,0.06,-1.42,102.56,2.96,0,16,0,MEAN
B1P1,1,G,0.07,-1.46,102.67,2.95,0,16,1,MEAN
B1P1,1,G,0.1,-1.5,102.71,2.92,0,16,2,MEAN
B1P1,1,G,0.09,-1.5,102.69,2.92,0,16,3,MEAN
B1P1,1,G,0.11,-1.5,102.76,2.92,0,16,4,MEAN
B1P1,1,G,0.14,-1.46,102.93,2.92,0,16,5,MEAN
B1P1,1,G,0.15,-1.45,102.98,2.92,0,17,0,MEAN
B1P1,1,G,0.21,-1.46,103.01,2.9,0,17,1,MEAN
B1P1,1,G,0.18,-1.4,102.98,2.89,0,17,2,MEAN
B1P1,1,G,0.16,-1.45,102.93,2.9,0,17,3,MEAN
B1P1,1,G,0.22,-1.48,102.93,2.9,0,17,4,MEAN
B1P1,1,G,0.2,-1.45,102.87,2.93,0,17,5,MEAN
B1P1,1,G,0.04,-1.5,102.69,2.96,0,18,0,MEAN
