Pond	Sonde	start_date	start_time	end_date	end_time	n	comments
B2P3	Sonde06	2022-06-22	14:02:33	2022-07-03	18:26:33	7974	
B2P2	Sonde09	2022-06-22	14:12:54	2022-07-03	15:58:54	7974	
B1P1	Sonde16	2022-06-22	09:43:33	2022-07-02	08:39:33	7169	
B3P3	Sonde10	2022-06-22	15:33:02	2022-07-03	16:33:02	7951	
B3P1	Sonde14	2022-06-23	00:23:40	2022-07-02	23:59:40	6797	
B3P2	Sonde13	2022-06-23	08:37:44	2022-07-03	12:41:44	7323	
B3P0	Sonde11	2022-06-23	08:34:19	2022-07-03	12:36:19	7322	no ODO measurements
ERL85	Sonde07	2022-06-22	10:48:21	2022-07-03	09:28:21	7881	
B2P4	Sonde08	2022-06-22	14:05:18	2022-07-03	17:01:18	8009	
ERL152	Sonde15	2022-06-22	10:24:03	2022-06-30	21:18:03	4039	early stop all measurements, huge data-gaps
B3P4	Sonde12	2022-06-22	12:34:19	2022-06-29	05:36:19	4832	early stop all measurements
