Date	B1P1	B1P4	B2P2	B2P3	B2P4	B3P0	B3P1	B3P2	B3P3	ERL122	ERL152	ERL85
2023-06-22	24	24	24	24	24	24	24	24	24	8	24	24
2023-06-23	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-24	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-25	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-26	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-27	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-28	288	288	288	288	288	288	288	288	288	96	288	288
2023-06-29	288	288	288	288	288	288	288	288	288	91	288	288
2023-06-30	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-01	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-02	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-03	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-04	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-05	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-06	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-07	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-08	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-09	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-10	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-11	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-12	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-13	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-14	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-15	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-16	288	288	288	288	288	288	288	288	288	96	288	288
2023-07-17	24	24	24	25	24	25	24	25	25	8	24	24
