KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;7/20/2023 8:36:00 PM;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.48;6.4;0.457;3.51;1.61;8.3;100;101.3;10.27;0.65;0;8.1;0.4;5;NA;12.4;14.233;0.481;5.29;0.1
;;;STANDARD DEVIATION:;0.27;11.9;0.618;8.37;2.79;15.2;2.4;2.4;0.48;0.878;0.01;15;0.37;10;1.29;73.1;2.093;0.691;0.04;1
;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102813;16L102031;15C104792;15M102838;15M102838;16L102031;15M103221;15M103221;15M103221;15C104792;16L102031;16L102031;15D102813;16L102031;16A102314;16A102314;16L102031;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:mm:ss);Time (Fract. Sec);Site Name;Chlorophyll RFU;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;TAL PC RFU;TDS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
07.01.2023;15:30:32;0;greeenland;0.53;1.6;0.306;0.55;0.63;1.9;96.3;97.6;9.26;0.435;0;1.8;0.47;1;5.76;57.9;17.263;0.31;5.36;0
07.01.2023;15:30:33;0;greeenland;0.54;1.6;0.307;0.54;0.63;1.9;96.3;97.6;9.26;0.435;0;1.9;0.47;1;6.26;29.7;17.266;0.313;5.36;0
07.01.2023;15:30:35;0;greeenland;0.53;1.6;0.306;0.53;0.62;1.9;96.3;97.6;9.26;0.435;0;1.9;0.46;1;5.67;62.9;17.272;0.303;5.36;0
07.01.2023;15:30:37;0;greeenland;0.53;1.6;0.307;0.52;0.62;1.9;96.4;97.7;9.26;0.436;0;1.9;0.46;1;5.62;65.7;17.279;0.31;5.36;0
07.01.2023;15:30:39;0;greeenland;0.54;1.6;0.307;0.53;0.62;1.9;96.4;97.7;9.27;0.436;0;1.9;0.46;1;5.6;67.1;17.282;0.308;5.36;0
07.01.2023;15:30:41;0;greeenland;0.55;1.6;0.307;0.58;0.64;1.9;96.5;97.7;9.27;0.436;0;1.9;0.46;1;5.58;68.4;17.283;0.313;5.36;0
07.01.2023;15:30:43;0;greeenland;0.54;1.6;0.307;0.63;0.65;1.9;96.5;97.8;9.27;0.436;0;1.9;0.46;1;5.42;77.1;17.282;0.302;5.34;0
07.01.2023;15:30:45;0;greeenland;0.54;1.6;0.308;0.66;0.66;1.9;96.5;97.8;9.27;0.437;0;1.9;0.45;1;5.53;71.2;17.282;0.313;5.34;0
07.01.2023;15:30:47;0;greeenland;0.54;1.6;0.307;0.69;0.68;1.9;96.5;97.8;9.27;0.437;0;1.9;0.45;1;5.61;66.2;17.283;0.307;5.34;0
07.01.2023;15:30:49;0;greeenland;0.55;1.6;0.308;0.69;0.67;1.9;96.5;97.8;9.27;0.437;0;1.9;0.44;1;2.88;222;17.287;0.307;5.34;0
07.01.2023;15:30:51;0;greeenland;0.54;1.6;0.307;0.67;0.67;1.9;96.5;97.7;9.27;0.437;0;1.9;0.43;1;6.38;23;17.288;0.305;5.34;0
07.01.2023;15:30:53;0;greeenland;0.54;1.6;0.307;0.7;0.68;1.8;96.5;97.7;9.27;0.437;0;1.8;0.44;1;5.39;78.9;17.29;0.308;5.12;0
07.01.2023;15:30:55;0;greeenland;0.54;1.5;0.307;0.73;0.69;1.8;96.5;97.8;9.27;0.436;0;1.8;0.43;1;5.56;69.6;17.294;0.305;5.12;0
07.01.2023;15:30:57;0;greeenland;0.54;1.5;0.307;0.77;0.7;1.8;96.4;97.7;9.26;0.437;0;1.7;0.43;1;6.65;7.5;17.298;0.304;5.12;0
