KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/20/2024 11:02:31 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.28;6.36;2.5;-0.172;6.55;1.26;3.5;100;101.3;10.59;-0.245;0;3.4;-0.12;-0.12;2;-0.17;0;NA;33.5;12.814;-0.16;5.42;0
;;;STANDARD DEVIATION:;0.5;1.54;7.2;0.621;3.31;1.1;10.1;1.4;1.4;0.34;0.883;0;10;1.72;1.72;6;1.3;0;1.11;63;1.596;0.674;0.08;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/20/2024;15:32:24;0;greeenland;-0.11;6.9;0.2;-0.278;-5.13;-2.64;0.3;105.3;106.7;11.46;-0.396;0;0.2;0.9;0.9;0;0.11;0;2.15;260.3;11.584;-0.279;5.55;0
6/20/2024;15:32:26;0;greeenland;-0.12;6.86;0.2;-0.278;-4.01;-2.26;0.2;105.4;106.8;11.47;-0.395;0;0.2;0.89;0.89;0;0.1;0;4.62;121.2;11.558;-0.279;5.55;0
6/20/2024;15:32:28;0;greeenland;-0.18;6.69;0.2;-0.278;-3.4;-2.06;0.2;105.4;106.8;11.48;-0.396;0;0.2;0.86;0.86;0;0.12;0;13.31;-368.6;11.529;-0.279;5.55;0
6/20/2024;15:32:30;0;greeenland;-0.28;6.36;0.2;-0.278;-4.03;-2.27;0.2;105.4;106.8;11.48;-0.396;0;0.2;0.49;0.49;0;0.13;0;9.16;-134.8;11.525;-0.278;5.55;0
6/20/2024;15:32:32;0;greeenland;-0.42;5.94;0.2;-0.278;-4.03;-2.27;0.2;105.4;106.8;11.48;-0.396;0;0.2;0.01;0.01;0;0.12;0;7.79;-57.3;11.541;-0.274;5.55;0
6/20/2024;15:32:34;0;greeenland;-0.56;5.51;0.2;-0.279;-4.03;-2.27;0.2;105.4;106.8;11.47;-0.396;0;0.2;-0.36;-0.36;0;0.07;0;6.5;15.1;11.563;-0.283;5.65;0
