Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/22/2024 10:34:01 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.05;7.07;3.4;-0.316;6.38;1.2;4.6;98.6;99.9;10.91;-0.449;0;4.6;1.07;1.07;3;18.19;0;NA;28.6;10.848;-0.305;5.18;0
;;;STANDARD DEVIATION:;0.6;1.84;10.8;0.124;2.41;0.8;14.6;1.9;1.9;0.23;0.176;0.01;14.4;0.98;0.98;9;514.72;0;1.05;59;0.663;0.18;0.11;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;23G101106;23G101106;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/22/2024;13:46:00;0;greeenland;-0.07;7.03;-0.1;-0.337;6.69;1.3;-0.1;88.2;89.4;10.09;-0.479;0;-0.1;1.56;1.56;0;14.1;0;5.64;63.2;9.445;-0.341;5.02;0
6/22/2024;13:46:02;0;greeenland;-0.06;7.03;-0.1;-0.336;6.69;1.3;-0.1;88.2;89.4;10.09;-0.477;0;-0.1;1.56;1.56;0;14.03;0;5.64;63.2;9.444;-0.33;5.02;0
6/22/2024;13:46:04;0;greeenland;-0.06;7.04;-0.1;-0.337;6.69;1.3;-0.1;88.2;89.4;10.09;-0.479;0;-0.1;1.56;1.56;0;13.94;0;5.64;63.3;9.443;-0.34;5.02;0
