Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/26/2024 10:45:53 PM;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.12;3.7;0.338;3.29;0.17;5.2;100.5;101.8;10.67;0.481;0;5.1;0.97;3;NA;13;12.773;0.373;4.6;0
;;;STANDARD DEVIATION:;0.18;7.5;1.803;6.61;2.2;10.9;2.3;2.3;0.68;2.565;0;10.7;1.05;7;1.87;107;2.293;1.876;0.17;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15J102013;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:mm:ss);Time (Fract. Sec);Site Name;Chlorophyll RFU;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;TAL PC RFU;TDS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/26/2024;17:36:27;0;greeenland;-0.01;0;-0.19;6.66;1.29;0;92.1;93.3;9.06;-0.27;0;0;1.24;0;7.92;-65.5;16.175;-0.196;4.76;0
6/26/2024;17:36:29;0;greeenland;0;0;-0.19;6.65;1.29;0;92.1;93.3;9.06;-0.27;0;0;1.24;0;7.94;-66.6;16.151;-0.193;4.76;0
6/26/2024;17:36:31;0;greeenland;0;0;-0.19;6.66;1.29;0;92.1;93.4;9.07;-0.27;0;0;1.25;0;7.72;-54.3;16.114;-0.19;4.76;0
6/26/2024;17:36:33;0;greeenland;0;0;-0.19;6.66;1.29;0;92.2;93.4;9.08;-0.27;0;0;1.24;0;7.16;-22.1;16.093;-0.191;4.76;0
6/26/2024;17:36:35;0;greeenland;0.01;0;-0.19;6.65;1.29;0;92.2;93.4;9.08;-0.27;0;0;1.25;0;6.76;0.5;16.092;-0.189;4.76;0
