Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/19/2024 9:59:39 PM;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.01;7.26;0;-0.056;5.22;0.81;0;102.1;103.4;10.81;-0.08;0;0;1.5;1.5;0;NA;84.9;12.795;-0.056;6.08;0
;;;STANDARD DEVIATION:;0.03;0.08;0;0.001;3.81;1.27;0;2.1;2.2;0.37;0.002;0;0;0.05;0.05;0;0.4;22.7;0.735;0.004;0.06;0
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15D102812;15J102013;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/19/2024;15:47:47;0;greeenland;-0.01;7.2;0;-0.054;2.02;-0.25;0;91.7;92.9;9.61;-0.077;0;0;1.34;1.34;0;4.51;128.2;13.288;-0.047;6.14;0
6/19/2024;15:47:49;0;greeenland;0.02;7.3;0;-0.055;2.73;-0.01;0;92.3;93.5;9.66;-0.078;0;0;1.36;1.36;0;-3.59;587.7;13.318;-0.059;6.14;0
6/19/2024;15:47:51;0;greeenland;0.01;7.27;0;-0.055;3.33;0.18;0;93.1;94.4;9.74;-0.078;0;0;1.39;1.39;0;10.22;-195.9;13.341;-0.049;6.15;0
6/19/2024;15:47:53;0;greeenland;-0.01;7.22;0;-0.056;3.64;0.29;0;93.5;94.7;9.77;-0.079;0;0;1.4;1.4;0;6.55;12.4;13.351;-0.063;6.15;0
