Time_seq,Pond,Treatment,Chlorophyll_RFU,Chlorophyll_ugL,Cond_uScm,BGAPC_RFU,BGAPC_ugL,ODO_sat,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
0,B1P1,S,0.39,2.72,38.88,-1.59,-1.58,96.54,11.73,7.33,2.33,59.4,6.96
1,B1P1,S,0.45,2.91,39.22,-1.6,-1.6,98.07,11.82,7.32,2.26,59.32,7.28
2,B1P1,S,0.55,3.21,39.11,-1.59,-1.59,98.5,11.86,7.31,2.26,59.05,7.32
3,B1P1,S,0.51,3.07,38.88,-1.59,-1.58,98.59,11.91,7.28,2.28,58.89,7.21
4,B1P1,S,0.47,2.94,38.67,-1.57,-1.57,98.44,11.97,7.3,2.26,59.03,6.93
6,B1P1,S,0.4,2.73,37.98,-1.55,-1.55,98.34,12.12,7.31,2.29,58.92,6.39
0,B1P4,NF,0.04,0.46,47.35,-0.39,-0.38,98.61,12.08,7.85,2.68,72.87,6.64
1,B1P4,NF,0.06,0.52,47.89,-0.39,-0.39,99.17,12.03,7.85,2.62,72.96,7.03
2,B1P4,NF,0.12,0.69,47.87,-0.39,-0.39,98.99,11.96,7.83,2.62,72.62,7.14
3,B1P4,NF,0.13,0.75,47.38,-0.37,-0.37,97.48,11.88,7.76,2.68,72.55,6.83
4,B1P4,NF,0.14,0.75,46.9,-0.37,-0.37,97.26,11.98,7.78,2.68,72.72,6.42
5,B1P4,NF,0.17,0.87,46.49,-0.36,-0.35,97.3,12.09,7.81,2.72,72.83,6.06
6,B1P4,NF,0.22,1.02,46.24,-0.35,-0.35,97.16,12.09,7.78,2.75,72.55,6.01
7,B1P4,NF,0.25,1.1,46.12,-0.34,-0.34,97.8,12.19,7.8,2.75,72.53,5.94
0,B2P2,S,0.62,3.25,37.67,-1.09,-1.09,97.63,11.86,7.36,4.89,57.4,6.98
1,B2P2,S,0.66,3.37,37.79,-1.09,-1.09,98,11.87,7.36,4.82,57.41,7.09
2,B2P2,S,0.71,3.54,37.6,-1.08,-1.08,97.76,11.86,7.32,4.78,57.22,7.04
3,B2P2,S,0.7,3.52,37.34,-1.08,-1.08,97.09,11.84,7.25,4.82,57.16,6.84
4,B2P2,S,0.65,3.36,37,-1.07,-1.07,97.13,11.93,7.28,4.81,57.18,6.52
5,B2P2,S,0.74,3.65,36.8,-1.04,-1.04,97.21,12,7.3,4.77,57.21,6.32
6,B2P2,S,0.74,3.63,36.58,-1.05,-1.05,97.44,12.06,7.28,4.78,57.04,6.22
