Time_seq,Hour,Ten_min,Pond,Treatment,Chlorophyll_RFU,Chlorophyll_ugL,Cond_uScm,BGAPC_RFU,BGAPC_ugL,ODO_sat,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
0,20,0,B1P1,S,0.66,3.55,38.9,-1.54,-1.54,96.95,11.79,7.4,2.29,59.4,6.95
0,20,1,B1P1,S,0.65,3.52,38.9,-1.55,-1.55,97,11.79,7.41,2.31,59.4,6.94
0,20,2,B1P1,S,0.43,2.83,38.9,-1.61,-1.61,97,11.79,7.4,2.29,59.4,6.94
0,20,3,B1P1,S,0.63,3.46,38.9,-1.54,-1.54,97,11.79,7.4,2.29,59.4,6.93
0,20,4,B1P1,S,0.48,3,38.9,-1.59,-1.59,97,11.79,7.4,2.29,59.42,6.94
0,20,5,B1P1,S,0.43,2.82,38.9,-1.6,-1.6,97,11.79,7.4,2.3,59.4,6.93
0,21,0,B1P1,S,0.53,3.14,38.9,-1.56,-1.56,97,11.79,7.4,2.31,59.4,6.93
0,21,1,B1P1,S,0.49,3.02,38.9,-1.59,-1.59,96.97,11.79,7.4,2.3,59.4,6.92
0,21,2,B1P1,S,0.73,3.77,38.9,-1.55,-1.55,96.96,11.79,7.4,2.31,59.4,6.92
0,21,3,B1P1,S,0.67,3.58,38.9,-1.54,-1.54,96.87,11.79,7.39,2.32,59.4,6.91
0,21,4,B1P1,S,0.49,3.03,38.9,-1.56,-1.56,96.7,11.77,7.39,2.34,59.4,6.89
0,21,5,B1P1,S,0.66,3.55,38.9,-1.56,-1.56,96.72,11.77,7.39,2.34,59.4,6.89
0,22,0,B1P1,S,0.63,3.46,38.9,-1.57,-1.57,96.72,11.77,7.39,2.32,59.4,6.89
0,22,1,B1P1,S,0.59,3.33,38.9,-1.51,-1.51,96.62,11.76,7.39,2.34,59.4,6.88
0,22,2,B1P1,S,0.47,2.95,38.9,-1.59,-1.59,96.5,11.75,7.39,2.33,59.4,6.88
0,22,3,B1P1,S,0.67,3.57,38.9,-1.56,-1.56,96.5,11.75,7.38,2.33,59.4,6.88
0,22,4,B1P1,S,0.74,3.8,,-1.54,-1.54,96.57,11.75,7.38,2.34,59.4,6.88
0,22,5,B1P1,S,0.75,3.83,38.9,-1.46,-1.46,96.56,11.75,7.38,2.33,59.4,6.87
0,23,0,B1P1,S,0.5,3.04,38.9,-1.57,-1.57,96.5,11.75,7.38,2.34,59.4,6.86
0,23,1,B1P1,S,0.55,3.2,38.8,-1.57,-1.57,96.45,11.75,7.37,2.35,59.4,6.86
0,23,2,B1P1,S,0.54,3.17,38.8,-1.56,-1.56,96.42,11.75,7.37,2.33,,6.85
0,23,3,B1P1,S,0.75,3.83,38.8,-1.48,-1.48,96.43,11.75,7.37,2.35,59.4,6.84
0,23,4,B1P1,S,0.58,3.3,38.8,-1.54,-1.54,96.4,11.75,7.37,2.34,59.48,6.84
0,23,5,B1P1,S,0.61,3.4,38.8,-1.52,-1.52,96.38,11.74,7.37,2.35,59.5,6.84
0,0,0,B1P1,S,0.59,3.34,38.8,-1.58,-1.48,96.22,11.73,7.36,2.36,59.5,6.83
0,0,1,B1P1,S,0.65,3.52,38.8,-1.56,-1.56,96.07,11.71,7.36,2.36,59.5,6.81
0,0,2,B1P1,S,0.61,3.38,38.8,-1.53,-1.53,95.94,11.7,7.36,2.35,59.5,6.81
0,0,3,B1P1,S,0.63,3.46,38.8,-1.52,-1.52,96.02,11.71,7.35,2.38,59.5,6.81
0,0,4,B1P1,S,0.62,3.43,38.8,-1.53,-1.53,96.03,11.71,7.35,2.38,59.5,6.81
0,0,5,B1P1,S,0.6,3.37,38.8,-1.53,-1.53,96,11.71,7.35,2.37,59.5,6.81
0,1,0,B1P1,S,0.56,3.25,38.8,-1.59,-1.59,95.97,11.71,7.35,2.37,59.5,6.79
0,1,1,B1P1,S,0.61,3.4,38.8,-1.51,-1.51,95.87,11.7,7.34,2.39,59.5,6.79
0,1,2,B1P1,S,0.65,3.52,38.8,-1.57,-1.57,95.8,11.7,7.34,2.38,59.5,6.78
0,1,3,B1P1,S,0.58,3.31,38.8,-1.51,-1.51,95.75,11.69,7.33,2.38,59.5,6.77
0,1,4,B1P1,S,0.81,4.03,38.8,-1.54,-1.54,95.72,11.69,7.33,2.37,59.5,6.77
0,1,5,B1P1,S,0.55,3.2,38.8,-1.53,-1.53,95.62,11.68,7.33,2.4,59.5,6.75
0,2,0,B1P1,S,0.57,3.27,38.7,-1.52,-1.52,95.52,11.67,7.32,2.4,59.5,6.74
0,2,1,B1P1,S,0.82,4.04,38.7,-1.54,-1.54,95.53,11.67,7.32,2.39,59.5,6.74
0,2,2,B1P1,S,0.54,3.17,38.7,-1.56,-1.56,95.5,11.67,7.32,2.38,59.5,6.74
0,2,3,B1P1,S,0.66,3.55,38.7,-1.51,-1.51,95.43,11.66,7.31,2.38,59.5,6.73
0,2,4,B1P1,S,0.6,3.37,38.7,-1.51,-1.4,95.42,11.66,7.31,2.4,59.5,6.73
0,2,5,B1P1,S,0.58,3.29,38.7,-1.58,-1.58,95.38,11.66,7.31,2.4,59.5,6.72
0,3,0,B1P1,S,0.88,4.25,38.7,-1.47,-1.47,95.23,11.64,7.3,2.4,59.5,6.71
0,3,1,B1P1,S,0.86,4.18,38.7,-1.48,-1.48,95.28,11.65,7.3,2.41,59.5,6.71
0,3,2,B1P1,S,0.73,3.78,38.7,-1.51,-1.51,95.2,11.64,7.3,2.4,59.5,6.71
0,3,3,B1P1,S,0.57,3.28,38.7,-1.52,-1.52,95.23,11.64,7.3,2.39,59.5,6.7
0,3,4,B1P1,S,0.69,3.65,38.7,-1.52,-1.52,95.2,11.64,7.29,2.41,59.5,6.69
0,3,5,B1P1,S,0.52,3.12,38.7,-1.55,-1.55,95.18,11.64,7.29,2.4,59.5,6.69
0,4,0,B1P1,S,0.45,2.9,38.7,-1.57,-1.57,95.1,11.64,7.29,2.4,59.5,6.69
0,4,1,B1P1,S,0.46,2.92,38.7,-1.57,-1.57,95.1,11.64,7.29,2.41,59.5,6.68
0,4,2,B1P1,S,0.6,3.36,38.7,-1.51,-0.66,95.07,11.64,7.29,2.41,59.5,6.67
0,4,3,B1P1,S,0.55,3.21,38.7,-1.54,-1.47,95.02,11.63,7.28,2.41,59.5,6.66
0,4,4,B1P1,S,0.56,3.25,38.6,-1.55,-1.55,95,11.63,7.28,2.42,59.5,6.66
0,4,5,B1P1,S,0.84,4.11,38.6,-1.47,-1.47,94.98,11.63,7.28,2.42,59.5,6.66
0,5,0,B1P1,S,0.53,3.15,38.6,-1.54,-1.54,94.88,11.62,7.28,2.42,59.5,6.66
0,5,1,B1P1,S,0.55,3.2,38.6,-1.58,-1.58,94.83,11.61,7.27,2.42,59.5,6.65
0,5,2,B1P1,S,0.66,3.54,38.6,-1.52,-1.52,94.78,11.61,7.26,2.41,59.5,6.64
0,5,3,B1P1,S,0.92,4.37,38.6,-1.48,-1.48,94.78,11.61,7.26,2.41,59.5,6.64
0,5,4,B1P1,S,0.5,3.04,38.6,-1.56,-1.56,94.68,11.6,7.26,2.41,59.5,6.64
0,5,5,B1P1,S,0.43,2.84,38.6,-1.54,-1.54,94.7,11.6,7.26,2.42,59.5,6.63
0,6,0,B1P1,S,0.47,2.95,38.6,-1.55,-1.55,94.67,11.6,7.26,2.44,59.5,6.63
0,6,1,B1P1,S,0.44,2.88,38.6,-1.56,-1.56,94.65,11.6,7.26,2.48,59.5,6.63
0,6,2,B1P1,S,0.48,2.98,38.6,-1.52,-1.52,94.58,11.59,7.25,2.47,59.5,6.63
0,6,3,B1P1,S,0.61,3.39,38.6,-1.52,-1.52,94.55,11.58,7.25,2.43,59.5,6.63
0,6,4,B1P1,S,0.65,3.53,38.6,-1.49,-1.49,94.55,11.58,7.25,2.48,59.5,6.63
0,6,5,B1P1,S,0.51,3.09,38.52,-1.55,-1.55,94.52,11.59,7.25,2.48,59.42,6.62
0,7,0,B1P1,S,0.57,3.28,38.5,-1.57,-1.57,94.53,11.59,7.25,2.5,59.4,6.61
0,7,1,B1P1,S,0.64,3.49,38.5,-1.53,-1.53,94.53,11.59,7.25,2.49,59.4,6.6
0,7,2,B1P1,S,0.6,3.35,38.5,-1.57,-1.57,94.5,11.59,7.25,2.44,59.4,6.6
0,7,3,B1P1,S,0.4,2.73,38.5,-1.58,-1.58,94.5,11.59,7.25,2.4,59.4,6.6
