Date (MM/DD/YYYY);Time (HH:MM:SS);Temp °C;ODO mg/L;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;pH;pH mV;Battery V;Cable Pwr V
9/16/2021;19:27:52;6.973;11.45;0.25;1.59;78.2;33.22;10.85;121.3;94.3;95.5;0.06;119.3;-0.83;-0.83;78,00;7.08;-20.4;5.83;0.0
9/16/2021;19:29:52;6.971;11.44;0.26;1.66;78.2;33.04;10.79;121.3;94.2;95.5;0.06;119.3;-0.83;-0.83;78,00;7.09;-21.0;5.85;0.0
9/16/2021;19:31:52;6.981;11.45;0.25;1.61;78.3;33.03;10.78;121.3;94.3;95.6;0.06;119.4;-0.82;-0.82;78,00;7.09;-20.9;5.85;0.0
9/16/2021;19:33:52;6.984;11.45;0.24;1.57;78.3;33.18;10.83;121.3;94.3;95.6;0.06;119.4;-0.79;-0.79;78,00;7.09;-20.9;5.86;0.0
9/16/2021;19:35:52;6.980;11.47;0.26;1.64;78.3;33.08;10.80;121.4;94.4;95.7;0.06;119.4;-0.78;-0.78;78,00;7.08;-20.1;5.86;0.0
9/16/2021;19:37:52;6.981;11.46;0.24;1.58;78.3;33.10;10.81;121.4;94.4;95.6;0.06;119.4;-0.85;-0.85;78,00;7.07;-19.8;5.86;0.0
9/16/2021;19:39:52;6.982;11.46;0.21;1.46;78.3;33.01;10.78;121.4;94.4;95.6;0.06;119.4;-0.74;-0.74;78,00;7.07;-19.5;5.87;0.0
9/16/2021;19:41:52;6.980;11.46;0.20;1.43;78.3;33.05;10.79;121.4;94.4;95.6;0.06;119.4;-0.82;-0.82;78,00;7.06;-19.3;5.87;0.0
9/16/2021;19:43:52;6.979;11.45;0.19;1.41;78.3;33.02;10.78;121.4;94.3;95.5;0.06;119.4;-0.82;-0.82;78,00;7.05;-18.8;5.87;0.0
9/16/2021;19:45:52;6.977;11.44;0.25;1.61;78.3;33.10;10.81;121.4;94.2;95.5;0.06;119.4;-0.83;-0.83;78,00;7.06;-19.3;5.87;0.0
9/16/2021;19:47:52;6.975;11.44;0.17;1.32;78.3;33.06;10.79;121.4;94.2;95.5;0.06;119.4;-0.82;-0.82;78,00;7.06;-19.4;5.88;0.0
9/16/2021;19:49:52;6.974;11.46;0.14;1.22;78.3;33.04;10.79;121.4;94.4;95.6;0.06;119.4;-0.84;-0.84;78,00;7.06;-19.3;5.87;0.0
9/16/2021;19:51:52;6.974;11.47;0.17;1.34;78.3;33.00;10.78;121.4;94.5;95.7;0.06;119.4;-0.96;-0.96;78,00;7.06;-19.2;5.88;0.0
9/16/2021;19:53:52;6.973;11.46;0.45;2.29;78.6;33.05;10.79;121.9;94.4;95.6;0.06;119.9;-0.70;-0.70;78,00;7.06;-19.0;5.88;0.0
9/16/2021;19:55:52;6.970;11.45;0.27;1.68;78.6;33.13;10.82;121.9;94.2;95.5;0.06;119.9;-0.80;-0.80;78,00;7.06;-18.9;5.88;0.0
9/16/2021;19:57:52;6.970;11.44;0.22;1.50;78.7;33.19;10.84;122.0;94.2;95.5;0.06;120.0;-0.84;-0.84;78,00;7.05;-18.4;5.87;0.0
9/16/2021;19:59:52;6.971;11.43;0.15;1.24;78.7;33.05;10.79;122.0;94.1;95.4;0.06;120.0;-0.82;-0.82;78,00;7.05;-18.8;5.88;0.0
9/16/2021;20:01:52;6.971;11.44;0.14;1.22;78.7;33.15;10.83;122.0;94.2;95.5;0.06;120.0;-0.78;-0.78;78,00;7.05;-18.4;5.88;0.0
9/16/2021;20:03:52;6.966;11.43;0.20;1.42;78.7;33.17;10.83;122.1;94.1;95.4;0.06;120.1;-0.88;-0.88;78,00;7.06;-18.9;5.88;0.0
9/16/2021;20:05:52;6.964;11.43;0.16;1.30;78.7;33.12;10.82;122.1;94.1;95.4;0.06;120.1;-0.80;-0.80;78,00;7.06;-19.0;5.88;0.0
9/16/2021;20:07:52;6.960;11.42;0.16;1.30;78.7;33.25;10.86;122.1;94.0;95.3;0.06;120.1;-0.85;-0.85;78,00;7.06;-19.1;5.88;0.0
9/16/2021;20:09:52;6.960;11.42;0.20;1.45;78.7;33.32;10.88;122.1;94.0;95.3;0.06;120.1;-0.79;-0.79;78,00;7.05;-18.7;5.88;0.0
9/16/2021;20:11:52;6.953;11.42;0.14;1.23;78.7;33.14;10.82;122.1;94.0;95.3;0.06;120.1;-0.85;-0.85;78,00;7.05;-18.5;5.88;0.0
9/16/2021;20:13:52;6.953;11.40;0.24;1.56;78.7;33.12;10.81;122.1;93.8;95.1;0.06;120.1;-0.83;-0.83;78,00;7.06;-19.2;5.88;0.0
9/16/2021;20:15:52;6.954;11.42;0.14;1.21;78.7;33.07;10.80;122.1;94.0;95.3;0.06;120.1;-0.78;-0.78;78,00;7.06;-19.1;5.88;0.0
