KorEXO MEASUREMENT DATA FILE EXPORT																										
B3P1																										
B	9/24/2021 8:43:57 PM																									
																										
			MEAN VALUE:	1	4.36	51.2	0.949	25.78	8.59	81	101	102.4	12.5	1.35	0.04	79.7	-0.47	-0.47	52	1.199	NA	-10.4	6.23	0.949	4.89	0
			STANDARD DEVIATION:	0.32	1.05	5.2	0.096	2.66	0.89	8.1	3.3	3.3	0.39	0.136	0	8	0.07	0.07	5	0.005	0.14	8.1	0.505	0.096	0.34	0
																										
			SENSOR SERIAL NUMBER:	16A101233	16A101233	15E101949	15C104800	15M102834	15M102834	15E101949	15D102217	15D102217	15D102217	15C104800	15E101949	15E101949	16A101233	16A101233	15E101949	15D102603	15E101239	15E101239	15E101949	15C104800	15D102265	15D102265
Date (MM/DD/YYYY)	Time (HH:MM:SS)	Time (Fract. Sec)	Site Name	Chlorophyll RFU	Chlorophyll ug/L	Cond uS/cm	Depth m	fDOM QSU	fDOM RFU	nLF Cond uS/cm	ODO % sat	ODO % local	ODO mg/L	Pressure psi a	Sal psu	SpCond uS/cm	BGA PC RFU	BGA PC ug/L	TDS mg/L	Wiper Position volt	pH	pH mV	TempC	Vertical Position m	Battery V	Cable Pwr V
9/16/2021	17:42:02	0	greeenland	0.85	3.87	52	0.99	25.96	8.65	82	104.6	106	12.89	1.408	0.04	80.7	-0.42	-0.42	52	1.202	7.22	-25	6.402	0.989	5.72	0
9/16/2021	17:44:02	0	greeenland	0.95	4.21	52.1	0.99	26.22	8.74	82	104.7	106.1	12.9	1.408	0.04	80.7	-0.49	-0.49	52	1.204	7.22	-25.3	6.405	0.989	5.74	0
9/16/2021	17:46:02	0	greeenland	0.8	3.74	52	0.99	25.55	8.52	82	104.7	106.1	12.9	1.407	0.04	80.7	-0.46	-0.46	52	1.206	7.21	-24.7	6.404	0.989	5.73	0
9/16/2021	17:48:02	0	greeenland	1.15	4.86	52	0.989	27.12	9.04	81.9	104.6	106	12.89	1.407	0.04	80.6	-0.47	-0.47	52	1.207	7.2	-23.8	6.403	0.989	5.75	0
9/16/2021	17:50:02	0	greeenland	1.04	4.52	52	0.989	22.06	7.35	81.9	104.7	106.1	12.89	1.407	0.04	80.6	-0.46	-0.46	52	1.209	7.2	-23.7	6.406	0.988	5.74	0
9/16/2021	17:52:02	0	greeenland	0.72	3.45	52.1	0.989	26.33	8.78	82.1	104.7	106.1	12.89	1.407	0.04	80.7	-0.41	-0.41	52	1.208	7.18	-23	6.408	0.989	5.75	0
9/16/2021	17:54:02	0	greeenland	0.85	3.89	52	0.989	26.26	8.75	82	104.6	106	12.89	1.407	0.04	80.7	-0.47	-0.47	52	1.2	7.18	-22.7	6.409	0.989	5.76	0
9/16/2021	17:56:02	0	greeenland	0.99	4.34	52.1	0.989	26.28	8.76	82.1	104.6	106	12.89	1.407	0.04	80.8	-0.49	-0.49	53	1.19	7.17	-22.3	6.406	0.989	5.75	0
9/16/2021	17:58:02	0	greeenland	1.1	4.71	52.1	0.989	26.41	8.8	82.1	104.6	106	12.89	1.407	0.04	80.8	-0.5	-0.5	53	1.19	7.16	-21.5	6.394	0.989	5.76	0
9/16/2021	18:00:02	0	greeenland	0.89	4.02	52	0.989	24.97	8.32	82.1	104.7	106.1	12.9	1.407	0.04	80.8	-0.39	-0.39	52	1.201	7.15	-21.3	6.389	0.988	5.75	0
9/16/2021	18:02:02	0	greeenland	0.81	3.77	52	0.989	26.27	8.76	82.1	104.6	106	12.89	1.406	0.04	80.8	-0.53	-0.53	52	1.194	7.16	-21.4	6.377	0.988	5.75	0
9/16/2021	18:04:02	0	greeenland	0.94	4.19	52.1	0.989	26.4	8.8	82.2	104.6	106	12.89	1.406	0.04	80.9	-0.45	-0.45	53	1.207	7.14	-20.7	6.38	0.988	5.77	0
9/16/2021	18:06:02	0	greeenland	1.05	4.53	52.1	0.989	26.48	8.83	82.2	104.6	106	12.9	1.406	0.04	80.9	-0.49	-0.49	53	1.204	7.14	-20.5	6.378	0.988	5.75	0
9/16/2021	18:08:02	0	greeenland	0.99	4.35	52.1	0.988	26.28	8.76	82.1	104.6	106	12.9	1.406	0.04	80.8	-0.51	-0.51	53	1.199	7.15	-20.8	6.371	0.988	5.76	0
9/16/2021	18:10:02	0	greeenland	0.8	3.74	52.1	0.989	26.42	8.81	82.1	104.6	106	12.9	1.406	0.04	80.8	-0.53	-0.53	53	1.197	7.13	-20.2	6.372	0.989	5.75	0
9/16/2021	18:12:02	0	greeenland	1.11	4.73	52	0.988	27.02	9.01	82	104.4	105.8	12.88	1.405	0.04	80.7	-0.5	-0.5	52	1.194	7.14	-20.3	6.371	0.988	5.76	0
9/16/2021	18:14:02	0	greeenland	0.81	3.75	52.1	0.988	26.36	8.79	82.2	104.6	106	12.89	1.405	0.04	80.9	-0.47	-0.47	53	1.2	7.14	-20.3	6.371	0.988	5.77	0
9/16/2021	18:16:02	0	greeenland	1.02	4.45	52.1	0.988	26.36	8.79	82.2	104.6	105.9	12.89	1.405	0.04	80.9	-0.49	-0.49	53	1.206	7.14	-20.5	6.371	0.988	5.75	0
