Date_time	Pond	Day	Depth_m	Chlorophyll_RFU	Cond_uScm	SpCond_uScm	fDOM_RFU	ODO_mgL	ODO_sat	BGAPC_RFU	pH	Temp_C
2021-09-10T15:35:58Z	B1P1	Sept10	0.914	0.71	43.3	58.4	1.34	10.83	99.3	-0.81	7.66	11.463
2021-09-10T15:35:59Z	B1P1	Sept10	0.939	0.72	43	58	1.33	10.84	99.4	-0.97	7.65	11.464
2021-09-10T15:36:00Z	B1P1	Sept10	0.972	0.64	42.9	57.9	1.33	10.84	99.4	-0.87	7.65	11.464
2021-09-10T15:36:01Z	B1P1	Sept10	1.032	0.65	42.8	57.7	1.34	10.84	99.3	-0.74	7.65	11.462
2021-09-10T15:36:02Z	B1P1	Sept10	1.092	0.71	42.8	57.7	1.35	10.83	99.3	-0.75	7.65	11.456
2021-09-10T15:36:03Z	B1P1	Sept10	1.174	0.76	42.8	57.7	1.36	10.83	99.3	-0.94	7.65	11.452
2021-09-10T15:36:04Z	B1P1	Sept10	1.25	0.88	42.8	57.7	1.35	10.83	99.3	-0.91	7.65	11.451
2021-09-10T15:36:05Z	B1P1	Sept10	1.272	0.83	42.7	57.6	1.38	10.83	99.3	-0.8	7.65	11.453
2021-09-10T15:36:06Z	B1P1	Sept10	1.316	0.81	42.6	57.5	1.35	10.83	99.2	-0.83	7.65	11.455
2021-09-10T15:36:07Z	B1P1	Sept10	1.385	1.05	42.6	57.5	1.33	10.83	99.2	-0.93	7.65	11.452
2021-09-10T15:36:08Z	B1P1	Sept10	1.466	0.98	42.6	57.4	1.35	10.83	99.2	-0.87	7.65	11.449
2021-09-10T15:36:09Z	B1P1	Sept10	1.549	0.77	42.6	57.4	1.33	10.83	99.2	-0.7	7.65	11.449
2021-09-10T15:36:10Z	B1P1	Sept10	1.6	0.83	42.5	57.4	1.34	10.83	99.2	-0.67	7.65	11.449
2021-09-10T15:36:11Z	B1P1	Sept10	1.68	0.85	42.5	57.3	1.37	10.83	99.2	-0.79	7.65	11.449
2021-09-10T15:36:12Z	B1P1	Sept10	1.761	0.8	42.5	57.3	1.38	10.82	99.2	-0.87	7.65	11.45
2021-09-10T15:36:16Z	B1P1	Sept10	1.847	0.89	42.5	57.4	1.36	10.82	99.2	-0.92	7.65	11.448
2021-09-10T15:36:17Z	B1P1	Sept10	1.849	0.91	42.6	57.4	1.37	10.82	99.1	-0.93	7.65	11.441
2021-09-10T15:36:15Z	B1P1	Sept10	1.851	0.93	42.6	57.4	1.36	10.82	99.2	-0.74	7.65	11.451
2021-09-10T15:36:13Z	B1P1	Sept10	1.854	0.91	42.5	57.3	1.36	10.82	99.2	-0.69	7.65	11.45
2021-09-10T15:36:18Z	B1P1	Sept10	1.865	0.88	42.6	57.4	1.34	10.82	99.1	-0.64	7.65	11.441
2021-09-10T15:36:14Z	B1P1	Sept10	1.87	1	42.6	57.4	1.36	10.82	99.2	-0.61	7.65	11.45
2021-09-10T15:36:19Z	B1P1	Sept10	1.896	0.85	42.5	57.4	1.34	10.82	99.2	-0.63	7.65	11.441
2021-09-10T15:36:20Z	B1P1	Sept10	1.956	0.89	42.5	57.4	1.35	10.82	99.2	-0.8	7.65	11.439
2021-09-10T15:36:21Z	B1P1	Sept10	2.027	0.89	42.4	57.3	1.35	10.82	99.2	-0.89	7.65	11.438
2021-09-10T15:36:22Z	B1P1	Sept10	2.063	0.86	42.4	57.2	1.35	10.82	99.1	-0.97	7.65	11.439
2021-09-10T15:36:23Z	B1P1	Sept10	2.09	0.94	42.4	57.3	1.34	10.82	99.1	-0.86	7.65	11.439
2021-09-10T15:36:24Z	B1P1	Sept10	2.137	0.97	42.5	57.3	1.36	10.82	99.1	-0.68	7.65	11.437
2021-09-10T15:36:25Z	B1P1	Sept10	2.214	0.85	42.5	57.4	1.36	10.81	99.1	-0.63	7.65	11.432
2021-09-10T15:36:26Z	B1P1	Sept10	2.369	0.81	42.5	57.3	1.37	10.81	99.1	-0.72	7.65	11.428
2021-09-10T15:36:27Z	B1P1	Sept10	2.453	0.85	42.5	57.3	1.39	10.81	99.1	-0.91	7.64	11.424
2021-09-10T15:36:28Z	B1P1	Sept10	2.467	0.75	42.5	57.4	1.36	10.82	99.1	-0.98	7.64	11.425
2021-09-10T15:36:29Z	B1P1	Sept10	2.518	0.72	42.5	57.4	1.38	10.81	99	-0.94	7.64	11.426
2021-09-10T15:36:30Z	B1P1	Sept10	2.64	0.82	42.5	57.4	1.38	10.81	99.1	-0.78	7.64	11.42
2021-09-10T15:36:33Z	B1P1	Sept10	2.689	0.78	42.5	57.3	1.36	10.82	99	-0.76	7.64	11.418
2021-09-10T15:36:32Z	B1P1	Sept10	2.7	0.77	42.5	57.3	1.34	10.82	99	-0.72	7.64	11.417
2021-09-10T15:36:31Z	B1P1	Sept10	2.701	0.78	42.5	57.3	1.35	10.81	99	-0.71	7.64	11.416
2021-09-10T15:36:34Z	B1P1	Sept10	2.717	0.86	42.4	57.2	1.36	10.81	99	-0.89	7.64	11.417
