Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B1P2_Sept 21, 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/22/2021 12:26:18 AM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.13;-0.04;1.71;-0.76;1.1;0.091;1.97;0.66;1.8;95.6;95.6;11.36;0.13;0;1.8;0.32;0.32;4.3;12.03;1;52.55;0;NA;6;7.932;0.091;5.79;0.3
;;;STANDARD DEVIATION:;0.44;0.34;1.38;1.12;4.6;0.06;2.97;0.99;7.2;1.4;1.4;0.53;0.086;0;7.1;0.67;0.67;3.68;10.32;5;75.31;0;0.3;17.6;1.657;0.064;0.09;1.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/21/2021;11:10:40;0;;-0.1;0.08;0.99;-0.38;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.56;0.166;0;-0.1;0.18;0.18;5.26;14.72;0;23.24;0;6.15;24.9;7.130;0.117;6.39;11.5
9/21/2021;11:10:42;0;;-0.1;0.07;0.99;-0.39;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.56;0.166;0;-0.1;0.18;0.18;5.25;14.7;0;23.2;0;6.15;24.8;7.149;0.117;6.39;11.5
9/21/2021;11:10:44;0;;-0.09;0.08;1.03;-0.38;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.55;0.167;0;-0.1;0.18;0.18;5.26;14.73;0;23.22;0;6.15;24.8;7.157;0.118;6.39;11.5
9/21/2021;11:10:46;0;;-0.06;0.07;1.11;-0.41;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.55;0.167;0;-0.1;0.15;0.15;5.26;14.73;0;23.21;0;6.15;24.7;7.140;0.117;6.39;11.5
9/21/2021;11:10:48;0;;-0.07;0.06;1.08;-0.44;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.55;0.167;0;-0.1;0.14;0.14;5.25;14.7;0;23.22;0;6.16;24.7;7.116;0.119;6.39;11.5
9/21/2021;11:10:50;0;;-0.07;0.07;1.08;-0.4;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.56;0.167;0;-0.1;0.14;0.14;5.23;14.65;0;23.18;0;6.16;24.6;7.089;0.118;6.39;11.5
9/21/2021;11:10:52;0;;-0.06;0.04;1.11;-0.5;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.57;0.167;0;-0.1;0.15;0.15;5.25;14.7;0;23.18;0;6.16;24.6;7.059;0.118;6.39;11.5
9/21/2021;11:10:54;0;;-0.06;0.04;1.13;-0.49;-0.1;0.117;-3.29;-1.1;-0.1;95.5;95.5;11.58;0.167;0;-0.1;0.14;0.14;5.25;14.71;0;23.19;0;6.16;24.5;7.047;0.118;6.39;11.5
9/21/2021;11:10:56;0;;-0.06;0.01;1.12;-0.6;-0.1;0.118;-3.29;-1.1;-0.1;95.5;95.5;11.58;0.167;0;-0.1;0.14;0.14;5.28;14.77;0;23.2;0;6.16;24.5;7.041;0.119;6.39;11.5
9/21/2021;11:10:58;0;;-0.03;0.01;1.2;-0.6;-0.1;0.118;-3.29;-1.1;-0.1;95.5;95.5;11.58;0.167;0;-0.1;0.13;0.13;5.26;14.74;0;23.22;0;6.16;24.4;7.034;0.118;6.39;11.5
9/21/2021;11:11:00;0;;-0.02;0.02;1.24;-0.58;-0.1;0.118;-3.29;-1.1;-0.1;95.5;95.5;11.59;0.167;0;-0.1;0.1;0.1;5.26;14.73;0;23.23;0;6.16;24.3;7.022;0.119;6.39;11.5
9/21/2021;11:11:02;0;;-0.01;0;1.26;-0.65;-0.1;0.118;-3.28;-1.09;-0.1;95.5;95.5;11.59;0.167;0;-0.1;0.1;0.1;5.26;14.73;0;23.23;0;6.16;24.2;7.012;0.119;5.94;0
