KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;09/10/2021 22:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;-0.07;0.12;1.08;-0.23;5.8;0.140;3.36;1.12;7.9;96.0;96.0;10.52;0.198;0.00;7.8;-0.14;-0.14;6.08;17.02;5;25.69;0;NA;-18.7;11.293;0.139;4.63;0.0
;;;STANDARD DEVIATION:;0.23;0.03;0.71;0.11;16.7;0.212;3.41;1.14;22.9;0.4;0.4;0.10;0.302;0.01;22.5;0.60;0.60;0.52;1.47;15;24.85;0;0.45;26.9;0.373;0.212;0.05;0.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
09/10/2021;17:02:42;0.0;B1P3;-0.05;0.11;1.14;-0.28;1.2;0.090;1.88;0.63;1.6;95.4;95.4;10.25;0.127;0.00;1.6;0.11;0.11;5.71;16.00;1;43.65;0;6.48;6.1;12.155;0.089;4.75;0.0
09/10/2021;17:02:43;0.0;B1P3;0.00;0.12;1.30;-0.23;1.2;0.090;1.82;0.61;1.6;95.4;95.4;10.25;0.128;0.00;1.6;0.27;0.27;5.84;16.36;1;43.66;0;6.48;6.1;12.156;0.090;4.75;0.0
09/10/2021;17:02:44;0.0;B1P3;-0.01;0.14;1.27;-0.18;1.2;0.089;1.78;0.59;1.6;95.4;95.4;10.25;0.127;0.00;1.6;0.24;0.24;5.88;16.46;1;43.69;0;6.48;6.1;12.157;0.089;4.75;0.0
09/10/2021;17:02:45;0.0;B1P3;-0.08;0.14;1.04;-0.18;1.2;0.090;1.89;0.63;1.6;95.4;95.4;10.25;0.127;0.00;1.6;0.16;0.16;5.76;16.11;1;43.72;0;6.48;6.1;12.157;0.089;4.75;0.0
09/10/2021;17:02:46;0.0;B1P3;-0.04;0.09;1.17;-0.35;1.2;0.090;1.90;0.63;1.6;95.4;95.4;10.25;0.127;0.00;1.6;0.26;0.26;5.62;15.73;1;43.71;0;6.48;6.1;12.157;0.089;4.75;0.0
