KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERL 122, Sept 16, 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/17/2021 12:34:09 AM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.79;1.36;3.78;3.82;8.1;0.306;5.01;1.67;12.6;96.5;96.5;12.12;0.435;0.01;12.4;0.74;0.74;8.11;22.71;8;27.84;0;NA;-6.3;5.674;0.306;4.08;0.0
;;;STANDARD DEVIATION:;9.51;9.36;29.75;30.56;21.3;0.463;8.48;2.83;33.0;1.0;1.0;0.27;0.659;0.02;32.5;6.63;6.63;18.45;51.67;21;164.87;0;0.40;23.8;0.542;0.463;0.11;0.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/16/2021;19:04:18;0.0;VW-See;1.43;59.28;5.77;192.83;0.7;0.203;2.34;0.78;1.0;96.5;96.5;12.01;0.288;0.00;1.0;1.19;1.19;137.34;384.55;1;64.05;0;6.46;6.4;6.031;0.203;4.37;0.0
9/16/2021;19:04:19;0.0;VW-See;1.43;59.28;5.77;192.83;0.7;0.203;2.34;0.78;1.0;96.5;96.5;12.01;0.288;0.00;1.0;1.19;1.19;137.34;384.55;1;64.05;0;6.46;6.4;6.031;0.203;4.37;0.0
9/16/2021;19:04:20;0.0;VW-See;1.21;61.37;5.08;199.65;0.7;0.203;2.27;0.76;1.0;96.6;96.6;12.01;0.289;0.00;1.0;0.90;0.90;139.45;390.45;1;63.64;0;6.46;6.3;6.059;0.203;4.40;0.0
9/16/2021;19:04:21;0.0;VW-See;1.09;63.68;4.71;207.20;0.6;0.203;2.28;0.76;1.0;96.5;96.5;11.99;0.288;0.00;1.0;0.68;0.68;140.76;394.13;1;62.34;0;6.46;6.6;6.062;0.203;4.40;0.0
9/16/2021;19:04:22;0.0;VW-See;1.18;66.39;5.01;216.03;0.7;0.204;2.21;0.74;1.0;96.4;96.4;11.98;0.290;0.00;1.0;0.97;0.97;141.88;397.28;1;60.08;0;6.45;7.3;6.036;0.204;4.40;0.0
9/16/2021;19:04:23;0.0;VW-See;1.38;64.29;5.61;209.19;0.7;0.203;2.15;0.72;1.0;96.3;96.3;11.98;0.289;0.00;1.0;1.54;1.54;134.97;377.92;1;58.89;0;6.44;7.6;6.022;0.203;4.40;0.0
9/16/2021;19:04:24;0.0;VW-See;1.43;56.87;5.78;184.98;0.6;0.203;2.21;0.74;1.0;96.4;96.4;12.00;0.289;0.00;1.0;1.49;1.49;118.33;331.31;1;58.39;0;6.44;7.6;6.020;0.203;4.40;0.0
9/16/2021;19:04:25;0.0;VW-See;1.22;49.76;5.11;161.76;0.6;0.203;2.21;0.74;1.0;96.5;96.5;12.01;0.289;0.00;1.0;1.00;1.00;110.75;310.09;1;57.70;0;6.44;7.7;6.028;0.203;4.40;0.0
9/16/2021;19:04:26;0.0;VW-See;1.15;43.43;4.90;141.09;0.6;0.203;2.24;0.75;1.0;96.5;96.5;12.01;0.289;0.00;1.0;0.68;0.68;96.01;268.83;1;56.93;0;6.43;8.0;6.035;0.203;4.40;0.0
9/16/2021;19:04:27;0.0;VW-See;1.24;40.30;5.18;130.88;0.6;0.203;2.27;0.76;1.0;96.5;96.5;12.00;0.289;0.00;1.0;0.97;0.97;91.14;255.18;1;56.18;0;6.43;8.4;6.028;0.202;4.40;0.0
9/16/2021;19:04:28;0.0;VW-See;1.39;42.83;5.67;139.14;0.6;0.202;2.22;0.74;1.0;96.4;96.4;12.00;0.288;0.00;1.0;1.42;1.42;97.62;273.33;1;55.42;0;6.42;8.7;6.025;0.202;4.40;0.0
9/16/2021;19:04:29;0.0;VW-See;1.29;41.31;5.33;134.17;0.7;0.203;2.16;0.72;1.0;96.4;96.4;11.99;0.288;0.00;1.0;1.09;1.09;92.16;258.05;1;54.78;0;6.42;8.9;6.028;0.203;4.40;0.0
9/16/2021;19:04:30;0.0;VW-See;1.12;32.77;4.82;106.31;0.7;0.203;2.13;0.71;1.0;96.4;96.4;11.99;0.289;0.00;1.0;0.62;0.62;72.67;203.47;1;54.20;0;6.41;9.3;6.031;0.203;4.37;0.0
9/16/2021;19:04:31;0.0;VW-See;1.27;27.15;5.29;87.97;0.6;0.204;2.16;0.72;1.0;96.4;96.4;11.98;0.289;0.00;1.0;0.89;0.89;61.61;172.52;1;53.52;0;6.40;9.7;6.030;0.204;4.37;0.0
9/16/2021;19:04:32;0.0;VW-See;1.48;18.96;5.94;61.26;0.6;0.203;2.27;0.76;1.0;96.3;96.3;11.98;0.289;0.00;1.0;1.36;1.36;72.67;203.46;1;53.04;0;6.40;9.9;6.030;0.203;4.37;0.0
9/16/2021;19:04:33;0.0;VW-See;1.46;24.93;5.89;80.72;0.6;0.203;2.29;0.76;1.0;96.4;96.4;11.99;0.289;0.00;1.0;1.09;1.09;114.58;320.81;1;52.71;0;6.40;10.0;6.033;0.203;4.37;0.0
9/16/2021;19:04:34;0.0;VW-See;1.23;34.05;5.14;110.48;0.7;0.203;2.22;0.74;1.0;96.4;96.4;11.99;0.289;0.00;1.0;0.63;0.63;142.32;398.49;1;52.33;0;6.40;10.1;6.038;0.203;4.37;0.0
9/16/2021;19:04:35;0.0;VW-See;1.19;38.45;5.02;124.84;0.7;0.204;2.28;0.76;1.0;96.4;96.4;11.99;0.290;0.00;1.0;0.92;0.92;144.93;405.80;1;51.88;0;6.40;10.2;6.042;0.204;4.37;0.0
9/16/2021;19:04:36;0.0;VW-See;1.41;50.31;5.72;163.57;0.7;0.204;2.25;0.75;1.0;96.4;96.4;11.99;0.289;0.00;1.0;1.37;1.37;148.92;416.97;1;51.50;0;6.40;10.2;6.042;0.203;4.37;0.0
9/16/2021;19:04:37;0.0;VW-See;1.35;53.66;5.53;174.50;0.6;0.204;2.22;0.74;1.0;96.3;96.3;11.98;0.289;0.00;1.0;1.14;1.14;149.42;418.36;1;50.84;0;6.39;10.4;6.018;0.204;4.37;0.0
9/16/2021;19:04:38;0.0;VW-See;1.09;56.02;4.72;182.18;0.6;0.204;2.25;0.75;1.0;96.3;96.3;11.98;0.289;0.00;1.0;0.60;0.60;149.86;419.62;1;50.05;0;6.38;11.0;6.001;0.203;4.37;0.0
9/16/2021;19:04:39;0.0;VW-See;1.20;79.09;5.05;257.49;0.6;0.203;2.22;0.74;1.0;96.3;96.3;11.99;0.289;0.00;1.0;0.70;0.70;151.47;424.12;1;49.42;0;6.38;11.2;5.997;0.203;4.37;0.0
9/16/2021;19:04:40;0.0;VW-See;1.37;85.65;5.60;278.88;0.6;0.203;2.25;0.75;1.0;96.3;96.3;11.99;0.289;0.00;1.0;1.10;1.10;152.30;426.45;1;48.91;0;6.38;11.3;5.994;0.204;4.38;0.0
9/16/2021;19:04:41;0.0;VW-See;1.32;64.82;5.44;210.91;0.6;0.203;2.32;0.77;1.0;96.4;96.4;12.00;0.289;0.00;1.0;0.99;0.99;151.55;424.34;1;48.58;0;6.38;11.3;5.998;0.204;4.38;0.0
9/16/2021;19:04:42;0.0;VW-See;1.08;54.01;4.70;175.62;0.6;0.203;2.29;0.76;1.0;96.4;96.4;12.01;0.289;0.00;1.0;0.60;0.60;150.67;421.88;1;48.29;0;6.38;11.1;6.006;0.203;4.38;0.0
9/16/2021;19:04:43;0.0;VW-See;1.00;46.78;4.44;152.02;0.6;0.203;2.21;0.74;1.0;96.5;96.5;12.01;0.289;0.00;1.0;0.76;0.76;149.78;419.39;1;48.09;0;6.39;10.7;6.011;0.203;4.38;0.0
9/16/2021;19:04:44;0.0;VW-See;1.31;44.89;5.41;145.86;0.6;0.203;2.24;0.75;1.0;96.5;96.5;12.00;0.289;0.00;1.0;1.19;1.19;149.38;418.27;1;47.62;0;6.39;10.6;6.012;0.203;4.38;0.0
9/16/2021;19:04:45;0.0;VW-See;1.42;45.57;5.74;148.07;0.7;0.204;2.25;0.75;1.0;96.4;96.4;12.00;0.289;0.00;1.0;1.07;1.07;149.44;418.44;1;46.90;0;6.38;11.0;6.009;0.203;4.38;0.0
9/16/2021;19:04:46;0.0;VW-See;1.13;45.69;4.85;148.48;0.6;0.204;2.25;0.75;1.0;96.4;96.4;12.00;0.290;0.00;1.0;0.66;0.66;149.79;419.40;1;46.61;0;6.38;11.4;6.013;0.204;4.38;0.0
9/16/2021;19:04:47;0.0;VW-See;1.04;48.45;4.57;157.48;0.6;0.204;2.25;0.75;1.0;96.5;96.5;12.01;0.289;0.00;1.0;0.55;0.55;150.45;421.26;1;46.35;0;6.38;11.5;6.021;0.203;4.38;0.0
