KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERL 88 Sept 18 2021;;No profile, too shallow, lots of macrophztes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;9/18/2021 2:52:38 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;8.22;0.07;27.01;-0.42;3.8;0.030;4.03;1.34;5.9;94.9;94.9;11.36;0.043;0.00;5.8;0.32;0.32;5.48;15.35;4;25.72;0;NA;-0.4;7.615;0.031;4.15;0.2
;;;STANDARD DEVIATION:;21.16;0.04;66.19;0.14;13.0;0.059;7.67;2.56;20.1;3.6;3.6;0.67;0.084;0.01;19.8;0.43;0.43;0.69;1.92;13;8.83;0;0.41;24.4;1.193;0.061;0.14;1.7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/18/2021;12:21:02;0.0;;-0.27;0.09;0.47;-0.33;65.5;0.077;39.75;13.25;100.2;93.0;93.0;11.14;0.109;0.05;98.5;-0.28;-0.28;4.79;13.42;64;0.92;0;7.39;-48.5;7.447;0.301;4.12;0.0
9/18/2021;12:21:04;0.0;;-0.30;0.10;0.37;-0.32;65.5;0.091;39.74;13.25;100.7;93.2;93.2;11.21;0.129;0.05;99.0;-0.38;-0.38;4.79;13.42;64;0.92;0;7.39;-48.6;7.284;0.310;4.07;0.0
9/18/2021;12:21:06;0.0;;-0.31;0.10;0.33;-0.32;65.5;0.108;39.76;13.25;101.1;93.4;93.4;11.28;0.153;0.05;99.5;-0.51;-0.51;4.78;13.39;65;0.92;0;7.39;-48.6;7.116;0.316;4.07;0.0
9/18/2021;12:21:08;0.0;;-0.31;0.09;0.33;-0.33;65.5;0.123;39.75;13.25;101.3;93.6;93.6;11.35;0.175;0.05;99.7;-0.62;-0.62;4.78;13.38;65;0.91;0;7.39;-48.7;7.032;0.322;4.07;0.0
9/18/2021;12:21:10;0.0;;-0.31;0.10;0.34;-0.32;65.4;0.139;39.77;13.26;101.3;93.8;93.8;11.38;0.198;0.05;99.7;-0.74;-0.74;4.78;13.38;65;0.90;0;7.39;-48.7;7.022;0.313;4.07;0.0
