KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L26 Sept 14, 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;9/14/2021 10:36:30 PM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.10;0.08;1.61;-0.37;3.7;0.386;2.39;0.80;5.3;95.5;95.5;10.96;0.549;0.00;5.2;0.08;0.08;5.46;15.28;3;17.02;0;NA;30.2;9.307;0.386;4.34;0.0
;;;STANDARD DEVIATION:;0.47;0.07;1.46;0.23;9.2;1.216;0.86;0.29;12.8;1.6;1.6;0.29;1.729;0.01;12.6;0.39;0.39;0.34;0.96;8;7.57;0;0.46;27.7;0.722;1.216;0.10;0.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D103675;18A104217;15D103675;18A104217;16L102034;15C104792;15D102806;15D102806;16L102034;15M103221;15M103221;15M103221;15C104792;16L102034;16L102034;15D103675;15D103675;18A104217;18A104217;16L102034;17L102782;17L102782;16L104494;16L104494;16L102034;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll RFU;Chlorophyll ug/L;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;BGA PE RFU;BGA PE ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
9/14/2021;15:25:08;0.0;VW-See;-0.16;-0.05;0.82;-0.80;0.6;0.122;-3.31;-1.10;0.9;94.9;94.9;11.08;0.173;0.00;0.9;-0.17;-0.17;5.85;16.38;1;33.66;0;5.38;71.3;8.586;0.121;4.61;0.0
9/14/2021;15:25:09;0.0;VW-See;-0.16;-0.05;0.82;-0.80;0.6;0.122;-3.31;-1.10;0.9;94.9;94.9;11.08;0.173;0.00;0.9;-0.17;-0.17;5.85;16.38;1;33.66;0;5.38;71.3;8.569;0.121;4.61;0.0
9/14/2021;15:25:10;0.0;VW-See;-0.17;0.05;0.79;-0.47;0.6;0.122;-3.31;-1.10;0.9;94.9;94.9;11.08;0.173;0.00;0.9;0.00;0.00;5.59;15.65;1;33.84;0;5.37;71.9;8.566;0.122;4.61;0.0
9/14/2021;15:25:11;0.0;VW-See;-0.07;0.05;1.07;-0.48;0.6;0.122;-3.31;-1.10;0.9;94.8;94.8;11.08;0.173;0.00;0.9;0.10;0.10;5.19;14.54;1;33.57;0;5.35;72.9;8.581;0.121;4.61;0.0
9/14/2021;15:25:12;0.0;VW-See;-0.10;0.09;0.98;-0.35;0.6;0.122;-3.31;-1.10;0.9;94.6;94.6;11.05;0.173;0.00;0.9;0.16;0.16;5.36;15.00;1;33.18;0;5.33;74.2;8.567;0.122;4.61;0.0
