Time_seq	Pond	Sonde	Treatment	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
0	B1P1	Sonde16	S	0.15	39.98	-1.46	10.37	7.16	3.13	50.37	14.2
1	B1P1	Sonde16	S	0.27	39.72	-1.43	10.38	7.2	3.1	50.35	13.94
2	B1P1	Sonde16	S	0.36	37.92	-1.37	10.26	6.99	3.35	49.75	12.49
3	B1P1	Sonde16	S	0.38	37.61	-1.36	10.6	7.14	3.23	49.71	12.23
4	B1P1	Sonde16	S	0.67	38.13	-1.33	10.75	7.26	3.05	49.71	12.82
5	B1P1	Sonde16	S	0.9	37.61	-1.28	10.61	7.14	3.18	49.54	12.4
0	B2P2	Sonde09	S	0.81	45.53	-0.23	11.05	7.57	0.77	57.44	14.15
1	B2P2	Sonde09	S	0.82	45.16	-0.23	11.06	7.58	0.84	57.5	13.77
2	B2P2	Sonde09	S	0.86	43.01	-0.21	10.89	7.22	0.97	57.26	11.96
3	B2P2	Sonde09	S	0.74	42.57	-0.2	11.27	7.35	0.96	57.19	11.6
4	B2P2	Sonde09	S	0.92	43.22	-0.21	11.41	7.46	0.88	57.14	12.31
5	B2P2	Sonde09	S	1.29	42.54	-0.16	11.29	7.36	1	57.03	11.71
0	B2P3	Sonde06	D	0.29	39.91	-1.37	10.15	7.23	-0.23	50.34	14.15
1	B2P3	Sonde06	D	0.33	39.54	-1.35	10.19	7.25	-0.21	50.37	13.75
2	B2P3	Sonde06	D	0.37	37.63	-1.29	10.24	7.13	-0.12	50.16	11.92
3	B2P3	Sonde06	D	0.28	37.27	-1.28	10.49	7.18	-0.12	50.1	11.58
4	B2P3	Sonde06	D	0.52	37.93	-1.29	10.5	7.2	-0.16	50.12	12.29
5	B2P3	Sonde06	D	0.8	37.16	-1.25	10.52	7.19	-0.11	49.89	11.65
0	B2P4	Sonde08	NF	-0.06	40.71	-0.65	10.59	6.6	1.09	53.58	12.43
1	B2P4	Sonde08	NF	-0.05	40.25	-0.65	10.53	6.62	1.07	52.99	12.4
