Time_seq	Hour	Pond	Treatment	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
0	20	B1P1	S	0.03	39.71	-1.47	10.44	7.18	3.2	50.3	14
0	21	B1P1	S	0.02	39.7	-1.48	10.45	7.18	3.2	50.3	14.05
0	22	B1P1	S	0.1	39.7	-1.46	10.43	7.17	3.22	50.3	14
0	23	B1P1	S	0.24	39.7	-1.44	10.44	7.16	3.23	50.3	14.01
0	0	B1P1	S	0.23	39.7	-1.45	10.49	7.19	3.27	50.3	14
0	1	B1P1	S	0.26	39.71	-1.44	10.39	7.14	3.22	50.3	14.07
0	2	B1P1	S	0.16	39.74	-1.46	10.4	7.13	3.25	50.3	14.03
0	3	B1P1	S	0.2	39.8	-1.44	10.43	7.14	3.29	50.3	14.02
0	4	B1P1	S	0.16	39.8	-1.46	10.38	7.12	3.27	50.3	14.06
0	5	B1P1	S	0.05	39.8	-1.47	10.35	7.1	3.25	50.3	14.07
0	6	B1P1	S	0.17	39.82	-1.46	10.3	7.08	3.26	50.3	14.07
0	7	B1P1	S	0.21	39.88	-1.43	10.2	7.06	3.22	50.39	14.09
0	8	B1P1	S	0.14	39.92	-1.46	10.17	7.06	3.2	50.45	14.07
0	9	B1P1	S	0.17	40.02	-1.43	10.23	7.09	3.18	50.57	14.08
0	10	B1P1	S	0.08	40.08	-1.47	10.28	7.11	3.12	50.56	14.15
0	11	B1P1	S	0.09	40.1	-1.45	10.28	7.12	3.05	50.4	14.28
0	12	B1P1	S	0.14	40.1	-1.45	10.31	7.15	3.03	50.4	14.32
0	13	B1P1	S	0.13	40.16	-1.47	10.34	7.17	2.99	50.38	14.41
0	14	B1P1	S	0.23	40.24	-1.44	10.38	7.2	2.96	50.34	14.47
0	15	B1P1	S	0.07	40.29	-1.47	10.41	7.21	2.98	50.37	14.51
0	16	B1P1	S	0.1	40.3	-1.47	10.46	7.26	2.93	50.37	14.58
0	17	B1P1	S	0.19	40.32	-1.45	10.47	7.28	2.91	50.39	14.58
0	18	B1P1	S	0.16	40.28	-1.46	10.48	7.3	2.92	50.38	14.5
0	19	B1P1	S	0.21	40.18	-1.46	10.49	7.3	2.98	50.37	14.42
1	20	B1P1	S	0.21	40.32	-1.42	10.49	7.3	2.99	50.58	14.37
1	21	B1P1	S	0.24	40.12	-1.43	10.48	7.28	3.05	50.46	14.27
1	22	B1P1	S	0.37	40.1	-1.44	10.45	7.25	3.06	50.53	14.2
1	23	B1P1	S	0.33	39.95	-1.44	10.46	7.23	3.15	50.46	14.09
1	0	B1P1	S	0.27	39.83	-1.42	10.39	7.2	3.14	50.41	14.01
1	1	B1P1	S	0.29	39.72	-1.46	10.33	7.16	3.13	50.4	13.93
1	2	B1P1	S	0.21	39.7	-1.43	10.3	7.14	3.17	50.4	13.85
1	3	B1P1	S	0.23	39.64	-1.45	10.28	7.12	3.19	50.4	13.8
1	4	B1P1	S	0.16	39.6	-1.45	10.25	7.1	3.22	50.4	13.75
1	5	B1P1	S	0.13	39.59	-1.42	10.24	7.09	3.23	50.4	13.72
1	6	B1P1	S	0.26	39.5	-1.41	10.21	7.07	3.26	50.4	13.68
1	7	B1P1	S	0.28	39.5	-1.45	10.26	7.11	3.22	50.4	13.69
1	8	B1P1	S	0.16	39.57	-1.43	10.29	7.13	3.18	50.4	13.72
1	9	B1P1	S	0.14	39.67	-1.46	10.33	7.16	3.12	50.44	13.81
1	10	B1P1	S	0.28	39.7	-1.41	10.36	7.18	3.05	50.31	13.91
1	11	B1P1	S	0.32	39.71	-1.43	10.4	7.21	3.04	50.3	13.96
