Pond	Treatment	Sonde	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
B1P1	S	Sonde16	0.39	38.59	-1.38	10.48	7.15	3.17	49.96	13.09
B2P2	S	Sonde09	0.86	43.81	-0.21	11.14	7.43	0.89	57.29	12.7
B2P3	D	Sonde06	0.38	38.4	-1.31	10.32	7.2	-0.17	50.2	12.68
B2P4	NF	Sonde08	-0.02	39.23	-0.64	10.72	6.6	1.28	52.89	11.44
B3P0	NF	Sonde11	-0.29	62.57	-0.53		6.65	0.24	80.91	13.14
B3P1	D	Sonde14	2.53	59.51	-0.28	9.41	7.18	2.43	78.29	12.42
B3P2	D	Sonde13	1.16	74.76	-0.24	10.38	6.71	9.26	96.92	13.03
B3P3	S	Sonde10	0.69	35.16	-0.93	10.87	7.05	1.47	45.88	12.77
ERL122	NF	Sonde12	-0.12	33.35	-0.32	10.27	6.41	0.72	42.83	13.4
ERL152	NF	Sonde15	-0.19	89.06	-0.74	11.3	9.86	2.91	112.86	13.95
ERL85	NF	Sonde07	-0.5	128.86	-2.26	11.61	9.13	-0.08	162.7	14.09
