Time_seq	Hour	Ten_min	Pond	Treatment	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_sat	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
0	20	0	B1P1	S	0.17	39.73	-1.46	101.72	10.48	7.2	3.22	50.3	13.99
0	20	1	B1P1	S	0.01	39.73	-1.45	101.25	10.43	7.18	3.2	50.3	13.99
0	20	2	B1P1	S	0	39.72	-1.5	101.13	10.42	7.17	3.19	50.3	14
0	20	3	B1P1	S	-0.04	39.7	-1.52	101.03	10.41	7.17	3.19	50.3	13.99
0	20	4	B1P1	S	-0.02	39.7	-1.5	101.28	10.44	7.18	3.19	50.3	14.01
0	20	5	B1P1	S	0.04	39.7	-1.38	101.5	10.45	7.18	3.21	50.3	14.03
0	21	0	B1P1	S	0	39.7	-1.49	101.48	10.45	7.18	3.18	50.3	14.04
0	21	1	B1P1	S	0.04		-1.44	101.6	10.46	7.18	3.18	50.3	14.07
0	21	2	B1P1	S	-0.05	39.7	-1.55	101.58	10.45	7.18	3.2	50.3	14.06
0	21	3	B1P1	S	0.01		-1.44	101.55	10.45	7.18	3.2	50.3	14.06
0	21	4	B1P1	S	0.15	39.7	-1.45	101.35	10.43	7.17	3.2	50.3	14.04
0	21	5	B1P1	S	0	39.7	-1.49	101.37	10.44	7.18	3.22	50.3	14.02
0	22	0	B1P1	S	0.02	39.7	-1.45	101.3	10.45	7.18	3.22	50.3	13.99
0	22	1	B1P1	S	0.01	39.7	-1.5	101.12	10.43	7.17	3.21	50.3	13.97
0	22	2	B1P1	S	0.16	39.7	-1.44	101.2	10.43	7.18	3.22	50.3	13.97
0	22	3	B1P1	S	0.15	39.7	-1.43	101.37	10.45	7.18	3.23	50.3	14
0	22	4	B1P1	S	0.11	39.7	-1.46	101.38	10.44	7.17	3.22	50.3	14.01
0	22	5	B1P1	S	0.19	39.7	-1.48	101.1	10.41	7.16	3.19	50.3	14.04
0	23	0	B1P1	S	0.14	39.7	-1.49	101.12	10.42	7.16	3.23	50.3	14
0	23	1	B1P1	S	0.43	39.7	-1.38	101.1	10.43	7.16	3.23	50.3	13.98
0	23	2	B1P1	S	0.17	39.7	-1.41	101.2	10.43	7.16	3.23	50.3	14
0	23	3	B1P1	S	0.37	39.7	-1.42	101.4	10.45	7.17	3.24	50.3	14.02
0	23	4	B1P1	S	0.22	39.7	-1.47	101.45	10.45	7.17	3.24	50.3	14.01
0	23	5	B1P1	S	0.2	39.7	-1.43	101.42	10.45	7.17	3.23	50.3	14.01
0	0	0	B1P1	S	0.21	39.7	-1.48	101.43	10.45	7.17	3.25	50.3	13.99
0	0	1	B1P1	S	0.25	39.7	-1.46	101.45	10.45	7.17	3.24	50.3	14.02
0	0	2	B1P1	S	0.23	39.7	-1.45	101.72	10.48	7.18	3.26	50.3	14.01
0	0	3	B1P1	S	0.26	39.7	-1.42	102.17	10.53	7.21	3.28	50.3	13.99
0	0	4	B1P1	S	0.3	39.7	-1.45	102.7	10.59	7.26	3.3		13.97
0	0	5	B1P1	S	0.22	39.7	-1.44	101.4	10.45	7.18	3.25	50.3	14
0	1	0	B1P1	S	0.05	39.7	-1.54	100.72	10.38	7.13	3.23	50.3	14.01
0	1	1	B1P1	S	0.22		-1.45	101.47	10.43	7.16	3.22	50.3	14.14
0	1	2	B1P1	S	0.7		-1.46	101.4	10.41	7.15	3.21		14.17
0	1	3	B1P1	S	0.14	39.7	-1.41	100.92	10.38	7.13	3.22	50.3	14.08
0	1	4	B1P1	S	0.39	39.7	-1.38	100.6	10.37	7.13	3.24	50.3	14
