Date	B1P1	B2P2	B2P3	B2P4	B3P0	B3P1	B3P2	B3P3	ERL122	ERL152	ERL85
2022-06-22	429	294	299	298	0	0	0	254	343	408	396
2022-06-23	720	720	720	720	463	462	462	720	720	508	720
2022-06-24	720	720	720	720	720	720	720	720	720	661	720
2022-06-25	720	720	720	720	720	720	720	720	720	656	720
2022-06-26	720	720	720	720	720	720	720	720	720	324	720
2022-06-27	720	720	720	720	720	720	720	720	720	559	720
2022-06-28	720	720	720	720	720	720	720	720	720	492	720
2022-06-29	720	720	720	720	720	720	720	720	169	362	720
2022-06-30	720	720	720	720	720	720	720	720	0	69	720
2022-07-01	720	720	720	720	720	720	720	720	0	0	720
2022-07-02	260	720	720	720	720	575	720	720	0	0	720
2022-07-03	0	480	490	511	379	0	381	497	0	0	285
