Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;7/2/2024 12:24:57 PM;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.26;3.6;-0.072;7.53;1.59;4.7;101.2;102.6;11.01;-0.102;0;4.6;0.45;3;NA;-3.8;11.661;-0.064;5.68;0
;;;STANDARD DEVIATION:;0.29;10.6;0.28;2.86;0.95;13.7;1;1;0.34;0.398;0.01;13.5;0.61;9;0.3;16.8;1.414;0.311;0.04;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102812;15J102013;23C100032;16L101042;16L101042;15J102013;15D102216;15D102216;15D102216;23C100032;15J102013;15J102013;15D102812;15J102013;16A102315;16A102315;15J102013;23C100032;23D100053;23D100053
Date (MM/DD/YYYY);Time (HH:mm:ss);Time (Fract. Sec);Site Name;Chlorophyll RFU;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;TAL PC RFU;TDS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
7/2/2024;13:54:59;0;greeenland;-0.02;0;-0.115;7.14;1.46;0;100.5;101.8;11.88;-0.163;0;0;0.9;0;6.35;23.2;8.06;-0.115;5.7;0
7/2/2024;13:55:01;0;greeenland;0;0;-0.115;7.16;1.46;0;100.5;101.8;11.88;-0.163;0;0;0.94;0;6.35;23.2;8.034;-0.11;5.7;0
7/2/2024;13:55:03;0;greeenland;-0.01;0;-0.115;7.19;1.47;0;100.5;101.8;11.89;-0.164;0;0;0.91;0;6.35;23.3;8.025;-0.118;5.67;0
7/2/2024;13:55:05;0;greeenland;-0.01;0;-0.115;7.15;1.46;0;100.6;101.9;11.9;-0.163;0;0;0.91;0;6.35;23.5;8.028;-0.113;5.67;0
7/2/2024;13:55:07;0;greeenland;0.02;0;-0.115;7.16;1.46;0;100.6;102;11.91;-0.164;0;0;0.93;0;6.34;23.6;8.032;-0.116;5.67;0
