Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28
KorEXO MEASUREMENT DATA FILE EXPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE CREATED:;6/29/2024 10:45:15 PM;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEAN VALUE:;0.57;5.7;1.4;0.486;0.98;0.77;2.2;99.7;101.1;11.53;0.691;0;2.1;0.95;0.57;1;14.26;0;NA;32.1;9.091;0.496;5.8;0
;;;STANDARD DEVIATION:;0.26;0.8;3;1.091;0.67;0.22;4.7;1.2;1.2;0.58;1.552;0;4.6;2.07;2.07;3;11.47;0;1.21;68;2.066;1.131;0.05;0.6
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SENSOR SERIAL NUMBER:;15D102813;15D102813;16L102031;15C104792;15M102838;15M102838;16L102031;15M103221;15M103221;15M103221;15C104792;16L102031;16L102031;15D102813;15D102813;16L102031;23G101106;23G101106;16A102320;16A102320;16L102031;15C104792;15D102261;15D102261
Date (MM/DD/YYYY);Time (HH:MM:SS);Time (Fract. Sec);Site Name;Chlorophyll RFU;Chlorophyll ug/L;Cond µS/cm;Depth m;fDOM QSU;fDOM RFU;nLF Cond µS/cm;ODO % sat;ODO % local;ODO mg/L;Pressure psi a;Sal psu;SpCond µS/cm;BGA PC RFU;BGA PC ug/L;TDS mg/L;Turbidity FNU;TSS mg/L;pH;pH mV;Temp °C;Vertical Position m;Battery V;Cable Pwr V
6/29/2024;17:55:16;0;greeenland;0.57;5.71;-0.2;0.31;0.89;0.74;-0.3;95.9;97.1;10.36;0.441;0;-0.3;0.62;0.24;0;1.11;0;4.44;122.8;11.886;0.306;5.93;0
6/29/2024;17:55:18;0;greeenland;0.58;5.72;-0.2;0.311;0.89;0.74;-0.3;95.9;97.2;10.36;0.442;0;-0.3;0.63;0.24;0;1.1;0;4.5;119.4;11.89;0.312;5.93;0
6/29/2024;17:55:20;0;greeenland;0.58;5.72;-0.2;0.311;0.9;0.74;-0.3;95.9;97.2;10.36;0.442;0;-0.3;0.63;0.24;0;1.1;0;4.51;118.9;11.905;0.311;5.93;0
